screen_name,life_long,Number_of_statues,Length_of_description,followers_count,friends_count,listed_number,Avg_tweets_per_day,Avg_favorite_per_day,Avg_retweets_per_day,Most_favorited,Avg_favorited_per_tweet,Avg_favorites_per_user,Most_retweeted,Avg_retweeted_per_tweet,Avg_retweets_per_user,Avg_length_of_tweets,sentiment_score,Avg_hashtags_per_tweet,tweets_with_hashtags,tweets_with_media,tweets_with_url,retweet_rate,influencial
__Suwan__W__,396,384,0,3,132,0,0.9697,0.0,0.2753,3,0.25,32.0,1175,74.6615,9556.6667,118.5443,51.7987,2.6266,0.63,0.04,0.88,0.3073,0
_Backers_,1465,1889,94,3063,63,1,1.2894,0.271,0.0,10,3.965,1.2945,14,0.872,0.2847,129.701,34.9217,3.0161,0.93,0.07,1.00,0.794,1
_capergames,2684,2603,50,1058,2299,26,0.9698,1.5999,0.0257,19,1.622,1.5331,46236,122.892,116.155,100.697,28.7413,2.6421,0.60,0.25,0.78,0.383,0
_meghansmith_,2022,10819,14,501,241,1,5.3506,7.7878,0.273,30,1.464,2.9222,644972,16241.627,32418.4172,87.618,10.9044,1.4559,0.07,0.17,0.16,0.621,1
_sattva,2765,1641,126,1666,1149,87,0.5935,0.6358,0.0731,14,1.158,0.6951,40701,44.188,26.5234,127.893,29.4887,1.9281,0.47,0.12,0.69,0.471,0
_WickedHeart,2361,87979,83,3166,2126,8,37.2634,3.745,0.1012,85,0.651,0.2056,254713,2392.817,755.7855,58.932,3.5634,1.2,0.03,0.06,0.22,0.41,0
0pensource,3333,4898,121,6647,2677,402,1.4695,0.0735,0.0345,23,0.682,0.1026,8014,15.112,2.2735,109.374,18.456,1.7208,0.66,0.04,0.94,0.49,0
18dMedia,2431,430948,106,11406,4083,42,177.2719,0.0103,0.1617,2,0.014,0.0012,2,0.634,0.0556,111.923,1.3362,1.0,0.00,0.60,0.99,0.624,1
18SportsAndy,2545,23428,157,2131,982,24,9.2055,2.6472,0.1116,90,5.716,2.6823,32822,127.303,59.7386,119.684,27.5356,1.34,0.10,0.12,0.66,0.788,1
3DDZYN,189,87,157,17,47,0,0.4603,0.2593,0.1058,9,0.8966,4.5882,37,0.8736,4.4706,100.3793,18.3416,1.9677,0.36,0.15,0.44,0.2529,0
3Js3KimsYoongi,320,7226,20,338,489,3,22.5813,20.8313,2.6187,7,0.038,0.1124,559988,17788.699,52629.287,103.655,15.8943,1.2946,0.53,0.37,0.10,0.868,1
4HOGS_GAMES,1429,427,43,774,2377,24,0.2988,0.0343,0.0364,13,0.5293,0.292,2045,8.4169,4.6434,80.3653,35.8105,3.1724,0.14,0.09,0.28,0.2436,0
4NewSquare,2382,728,137,3466,380,45,0.3056,0.131,0.1184,44,1.1456,0.2383,119,2.6505,0.5514,130.749,19.5154,1.2836,0.19,0.02,0.63,0.7739,1
4Sevens,3929,697,160,2345,46,52,0.1774,0.0728,0.0107,12,0.6484,0.1919,4,0.3415,0.1011,106.9669,26.2552,2.2393,0.23,0.13,0.48,0.2478,0
