screen_name,life_long,Number_of_statues,Length_of_description,followers_count,friends_count,listed_number,Avg_tweets_per_day,Avg_favorite_per_day,Avg_retweets_per_day,Most_favorited,Avg_favorited_per_tweet,Avg_favorites_per_user,Most_retweeted,Avg_retweeted_per_tweet,Avg_retweets_per_user,Avg_length_of_tweets,sentiment_score,Avg_hashtags_per_tweet,tweets_with_hashtags,tweets_with_media,tweets_with_url,influence_score,influencial
ealbishri,2440,1009,157,454,425,5,0.4135,0.2516,0.1816,10,0.2648,0.5815,239436,1395.1424,3063.7819,106.5356,14.7594,1.8053,0.23,0.16,0.5,703.8494,0
TheMotleyGeek,401,1009,154,233,314,7,2.5162,1.1771,0.1621,41,2.56,10.9871,140523,338.321,1452.0215,119.567,27.6523,2.9182,0.7,0.2,0.66,112.3226,0
MiSpringboard,2596,1011,160,1433,1381,43,0.3894,0.3998,0.1375,14,0.546,0.381,173,2.052,1.432,126.541,33.1788,1.6719,0.51,0.12,0.74,1.0486,0
justplainloco,604,1022,94,192,164,1,1.6921,9.5248,0.0281,163,1.837,9.5677,26122,58.247,303.3698,91.767,11.6437,1,0,0.01,0.34,7.7469,0
CryptoCrazyCat,841,1028,0,74,222,0,1.2224,1.585,1.0083,9,0.0964,1.2703,17754,138.4985,1824.8108,116.5026,14.7316,2.4226,0.44,0.13,0.3,123.3052,1
SpritesNDice,1782,1031,129,327,94,11,0.5786,0.4254,0.1089,56,1.494,4.5688,117446,138.456,423.4128,108.04,23.9856,1.2164,0.27,0.33,0.61,77.5354,0
BluffCreekElem,1223,1046,0,270,37,3,0.8553,0.085,0.1406,50,2.554,9.4593,50,0.624,2.3111,100.175,35.3274,1.2,0.09,0.84,0.11,0.2184,0
FailroadExpress,1965,1052,157,230,384,27,0.5354,0.1221,0.0677,32,0.542,2.3565,21866,35.695,155.1957,110.413,16.3213,2.8767,0.74,0.12,0.59,10.1374,0
Mary_Bellamy,2840,1066,154,355,593,18,0.3754,0.0535,0.1039,37,0.299,0.8423,3753,7.769,21.8845,108.865,24.1293,2.081,0.21,0.15,0.39,3.8379,0
eddyfate,4038,1085,146,3706,1112,217,0.2687,4.0191,0.0884,45,1.501,0.405,158950,1657.406,447.2223,95.169,12.0956,1.4157,0.09,0.15,0.3,679.5365,0
dwspainting,2671,1088,0,71,22,1,0.4073,0.0082,0.0026,37,0.077,1.0845,10,0.048,0.6761,72.664,14.7815,2.5,0,0.01,0.26,0.0008,0
D_B_Green,1168,1091,117,404,427,26,0.9341,0.2945,0.0231,24,1.069,2.646,18011,34.838,86.2327,128.972,39.1515,2.8165,0.42,0.07,0.75,8.7095,0
ChambonSophie,2423,1093,153,365,108,77,0.4511,0.3095,0.0933,25,1.494,4.0932,484,6.14,16.8219,128.416,14.0409,2.0128,0.7,0.09,0.64,3.9603,0
nametoobasque,898,1093,106,128,364,11,1.2171,1.6392,0.5267,16,0.289,2.2578,175684,2276.881,17788.1328,99.85,1.7729,1.5918,0.05,0.2,0.4,1111.1179,0
lanzastudy,485,1113,48,151,436,1,2.2948,2.9237,1.8722,7,0.105,0.6954,391,6.106,40.4371,122.364,17.6729,1.8536,0.36,0.2,0.35,5.6297,1
Sleepie_Cherrie,794,1140,13,38,61,0,1.4358,1.9622,0.9861,10,0.1435,3.3684,330047,12029.324,282372.5526,85.4103,2.2121,1.1111,0.02,0.36,0.27,10950.2936,1
kncklsndwch,1716,1147,136,5630,10,69,0.6684,0.3089,0.1731,4813,32.67,5.8028,2557,16.641,2.9558,83.968,18.8986,1.321,0.08,0.34,0.3,11.9482,0
RedPlatePress,1266,1150,28,613,711,15,0.9084,1.0126,0.248,26,2.464,4.0196,1760,9.511,15.5155,119.038,25.8813,1.4091,0.29,0.36,0.39,7.1998,0
eyre_joe,2584,1155,76,1012,1818,12,0.447,1.1006,0.1889,45,1.835,1.8132,194852,418.294,413.334,116.893,41.4391,1.1675,0.2,0.06,0.34,283.185,0
GenesisAPS,2987,1167,160,919,937,16,0.3907,0.1132,0.0653,203,1.709,1.8596,94,1.512,1.6453,117.716,33.9999,2.0522,0.4,0.29,0.55,0.9964,0
bikepackingcom,2339,1175,152,6105,393,132,0.5024,0.2698,0.0021,102,10.566,1.7307,26,2.835,0.4644,124.954,16.3412,1.0642,0.3,0.35,0.91,2.0497,0
tracimoc,2273,1175,143,314,468,11,0.5169,0.1918,0.0576,145,0.944,3.0064,110398,341.144,1086.4459,100.492,29.9497,1.8153,0.29,0.2,0.58,80.1688,0
UPbridge_gap,970,1185,0,716,285,26,1.2216,0.2526,0.0536,32,0.791,1.1047,31,0.817,1.1411,117.508,32.203,1.9099,0.56,0.04,0.77,0.3072,0
boardgamerev,676,1188,148,6435,4521,46,1.7574,0.3639,0.1494,88,1.816,0.2822,661,9.747,1.5147,104.275,27.2575,1.98,0.35,0.16,0.82,3.0118,0
Robotschampion,909,1190,63,117,41,54,1.3091,0.0022,0.0011,6,0.346,2.9573,8,0.236,2.0171,107.114,12.6823,2.0543,0.94,0.22,0.9,0.0413,0
centrodarte,3143,1193,145,444,219,14,0.3796,0.139,0.0611,58,1.013,2.2815,6917,10.993,24.759,115.244,4.8311,1.8185,0.62,0.29,0.7,5.5295,0
pgh_gamer,353,1196,100,251,665,4,3.3881,5.8215,0.2691,50,2.234,8.9004,217778,625.397,2491.6215,102.66,25.0926,1.2886,0.15,0.1,0.4,92.5588,0
zr6lu,244,1203,24,77,201,0,4.9303,5.877,4.0041,4,0.02,0.2597,1673,9.701,125.987,112.654,13.5312,2.1092,0.28,0.23,0.45,9.5555,1
james_r_eads,2034,1213,65,2164,105,29,0.5964,0.0025,0.0029,16,1.728,0.7985,16,0.555,0.2565,94.532,14.8636,1.125,0.02,0,0.99,0.202,0
maxplayingcards,2605,1233,44,1118,38,16,0.4733,0.0008,0.0023,27,0.613,0.5483,7,0.688,0.6154,130.743,15.2812,2.3716,0.88,0.54,0.99,0.3894,0
JustinSirois,3278,1236,125,813,1191,23,0.3771,0.1403,0.0406,28,0.493,0.6064,44665,203.292,250.0517,101.749,20.7998,2.0533,0.23,0.08,0.4,53.8724,0
alisongilbert,3235,1237,118,403,189,19,0.3824,0.7799,0.0594,21,0.568,1.4094,26196,167.5,415.6328,85.938,24.3256,1.1281,0.2,0.04,0.35,44.7225,0
TheSpellCast,354,1252,153,984,883,25,3.5367,8.6045,0.9548,68,2.267,2.3039,122453,298.256,303.1057,120.899,23.0499,2.5242,0.45,0.1,0.5,155.9879,0
