screen_name,life_long,Number_of_statues,Length_of_description,followers_count,friends_count,listed_number,Avg_tweets_per_day,Avg_favorite_per_day,Avg_retweets_per_day,Most_favorited,Avg_favorited_per_tweet,Avg_favorites_per_user,Most_retweeted,Avg_retweeted_per_tweet,Avg_retweets_per_user,Avg_length_of_tweets,sentiment_score,Avg_hashtags_per_tweet,tweets_with_hashtags,tweets_with_media,tweets_with_url,influence_score
_anthony_seger_,643,26550,38,1842,0,337,41.2908,0,0.675,4,0.022,0.0119,42792,1067.375,579.4653,136.92,22.0193,1.6753,0.15,0.05,0.7,478.184
_Backers_,1486,1926,94,3067,63,1,1.2961,0.2806,0,10,3.965,1.2928,14,0.872,0.2843,129.701,34.9217,3.0161,0.93,0.07,1,0.6924
_capergames,2705,2786,57,1142,2315,28,1.0299,1.7031,0.0255,19,1.622,1.4203,46236,122.892,107.6112,100.697,28.7413,2.6421,0.6,0.25,0.78,47.0676
_FG_College_,274,1015,154,250,321,6,3.7044,3.6241,1.1277,14,0.891,3.564,29426,61.482,245.928,109.187,39.1514,1.344,0.28,0.04,0.43,26.1913
_LaFabrique,2053,1452,160,2224,1769,149,0.7073,0.2679,0.1101,11,1.2,0.5396,2190,8.759,3.9384,122.313,6.1983,2.3721,0.43,0.21,0.65,6.6043
_meghansmith_,2043,10908,14,516,272,1,5.3392,7.8042,0.2702,30,1.464,2.8372,644972,16241.627,31476.0213,87.618,10.9044,1.4559,0.07,0.17,0.16,10086.0504
_sattva,2786,1659,126,1678,1163,88,0.5955,0.6572,0.0725,14,1.158,0.6901,40701,44.188,26.3337,127.893,29.4887,1.9281,0.47,0.12,0.69,20.8125
_WickedHeart,2382,88109,83,3237,2145,9,36.9895,3.7569,0.1003,85,0.651,0.2011,254713,2392.817,739.2082,58.932,3.5634,1.2,0.03,0.06,0.22,981.055
0pensource,3354,4959,121,6643,2679,402,1.4785,0.0781,0.0343,23,0.682,0.1027,8014,15.112,2.2749,109.374,18.456,1.7208,0.66,0.04,0.94,7.4049
18dMedia,2452,448030,106,11401,4072,41,182.7202,0.0098,0.1603,2,0.014,0.0012,2,0.634,0.0556,111.923,1.3362,1,0,0.6,0.99,0.3956
18SportsAndy,2566,23581,157,2135,985,24,9.1898,2.6699,0.1107,90,5.716,2.6773,32822,127.303,59.6267,119.684,27.5356,1.34,0.1,0.12,0.66,100.3148
2TomatoesGms,481,1089,76,1883,252,55,2.264,4.4324,1.2017,96,2.16,1.1471,19805,49.976,26.5406,112.654,1.367,1.7972,0.35,0.16,0.4,36.4325
3Js3KimsYoongi,341,7567,20,336,496,3,22.1906,20.434,2.4575,7,0.038,0.1131,559988,17788.699,52942.5565,103.655,15.8943,1.2946,0.53,0.37,0.1,15440.5907
3kwa,3527,11488,0,289,376,64,3.2572,1.6856,0.2194,7,0.097,0.3356,143710,3337.457,11548.2941,111.995,12.8098,1.3117,0.08,0.13,0.24,2606.5539
3rdEchelon,2195,6674,158,1146,328,12,3.0405,3.38,0.1212,265,3.059,2.6693,29120,152.101,132.7234,89.908,16.9105,1.3158,0.04,0.08,0.5,60.0799
5toclose,3249,24548,154,11810,11394,1204,7.5556,1.305,0.0006,6,0.319,0.0113,10,0.1095,0.0039,116.5095,26.429,2.274,0.17,0,0.99,0.0078
8bitpxl,1174,4735,128,12931,10368,197,4.0332,5.2411,0.0128,103,1.807,0.1397,153,0.864,0.0668,79.236,26.7091,2.2736,0.2,0.05,0.22,0.1564
9Lamper,2356,13957,18,910,1041,0,5.924,6.2615,0.2267,36,1.598,1.756,195544,3530.776,3879.9736,89.309,8.6073,1.4242,0.03,0.13,0.12,2174.958
A1GOY,3431,51247,152,12256,1119,217,14.9365,0.067,0.0434,303,5.384,0.4393,182534,730.023,59.5645,86.094,9.3548,1.2,0.03,0.13,0.26,195.6462
aaronareed,1849,1991,154,1572,899,79,1.0768,1.1801,0.1747,215,3.573,2.2729,148950,183.37,116.6476,116.994,23.1368,1.177,0.3,0.07,0.37,106.7213
aawato,1216,9836,142,1941,391,15,8.0888,8.1069,0.1941,309,4.547,2.3426,103062,957.84,493.4776,87.343,13.3008,1.3654,0.05,0.22,0.22,334.2862
ABCDjamesbond,290,4663,35,159,2121,2,16.0793,0.8483,2.5172,2,0.053,0.3333,156878,1480.419,9310.8113,124.796,49.4367,2.2476,0.63,0.05,0.21,1104.3926
abcxyz_jp,3276,9268,159,989,830,25,2.8291,5.1398,0.0321,25,1.41,1.4257,30209,99.811,100.9211,115.433,3.1175,5.3481,0.66,0.11,0.85,27.5478
aboardgamelife,3275,5043,164,604,687,20,1.5398,4.5832,0.0745,23,1.732,2.8675,2261,5.938,9.8311,106.577,33.9595,1.4205,0.18,0.17,0.42,1.8823
AceAnbender,3376,60183,83,24307,1054,658,17.8267,4.1961,0.0498,227,9.432,0.388,78052,171.177,7.0423,81.428,7.0253,1.0588,0.02,0.11,0.3,55.6325
ActionZacku,3494,5066,138,2935,643,34,1.4499,1.1431,0.1039,4775,24.276,8.2712,162913,1599.117,544.844,102.915,10.6494,1.65,0.04,0.21,0.34,1156.1616
AD360eu,914,11732,155,16367,16832,618,12.8359,2.0077,0.1488,8,0.668,0.0408,573,1.728,0.1056,91.461,13.8599,2.0305,0.59,0.26,0.93,0.5581
adelaide_rain,2637,13422,116,247,225,8,5.0899,7.7933,0.0557,33,1.336,5.4089,175987,1666.467,6746.83,79.093,17.2056,1.1143,0.04,0.2,0.2,278.3
AdhilPatel,611,1353,104,981,1351,14,2.2144,2.8232,0.1686,46,0.914,0.9317,14573,55.33,56.4016,99.51,32.0907,1.7207,0.22,0.07,0.53,9.4614
AECoker,2424,2180,155,1235,1562,49,0.8993,0.6122,0.262,64,1.373,1.1117,27165,120.29,97.4008,115.896,17.4234,1.453,0.23,0.14,0.29,84.5639
afterallmylove,1636,90059,116,18619,18406,370,55.0483,197.5862,0.4034,106,4.51,0.2422,148673,552.928,29.697,100.281,24.5368,2.0225,0.09,0.29,0.21,513.1172
AGCemporium,669,1440,143,349,1055,30,2.1525,3.2197,0.4634,27,1.131,3.2407,611744,908.881,2604.2436,128.086,19.5068,2.6314,0.77,0.15,0.7,495.3401
AgileFaye,3990,4516,93,2251,1692,113,1.1318,1.2323,0.1263,58,0.713,0.3167,65113,156.948,69.7237,110.925,26.0091,1.4326,0.28,0.09,0.28,90.2451
akasha111182,2479,33014,57,271,558,48,13.3175,13.0698,0.1158,182,1.566,5.7786,415004,3903.934,14405.6605,94.795,17.5999,1.3171,0.08,0.13,0.28,1210.2195
alanbahr,3151,15045,98,731,183,37,4.7747,3.3996,0.0479,45,2.792,3.8194,63203,111.099,151.9822,81.809,14.8936,1.5385,0.05,0.1,0.24,31.2188
AlexisJanson,3277,4631,153,1176,236,89,1.4132,1.1129,0.0049,109,2.39,2.0323,3624,3.905,3.3206,108.169,16.1899,1.1321,0.05,0.03,0.46,0.2265
alexneskin,3440,1498,143,478,237,31,0.4355,0.0244,0.0148,10,0.134,0.2803,5329,7.916,16.5607,73.656,12.421,1.5462,0.25,0.06,0.75,0.6887
alisongilbert,3256,1240,118,405,195,19,0.3808,0.7792,0.059,21,0.568,1.4025,26196,167.5,413.5802,85.938,24.3256,1.1281,0.2,0.04,0.35,44.7225
