screen_name,life_long,Number_of_statues,Length_of_description,followers_count,friends_count,listed_number,Avg_tweets_per_day,Avg_favorite_per_day,Avg_retweets_per_day,Most_favorited,Avg_favorited_per_tweet,Avg_favorites_per_user,Most_retweeted,Avg_retweeted_per_tweet,Avg_retweets_per_user,Avg_length_of_tweets,sentiment_score,Avg_hashtags_per_tweet,tweets_with_hashtags,tweets_with_media,tweets_with_url,retweet_rate,influence_score
__Suwan__W__,421,384,0,3,132,0,0.9121,0.0,0.2589,3,0.25,32.0,1175,74.6615,9556.6667,118.5443,51.7987,2.6266,0.63,0.04,0.88,0.3073,22.9435
_anthony_seger_,647,26667,38,1799,0,337,41.2164,0.0,0.6708,4,0.022,0.0122,42792,1067.375,593.3157,136.92,22.0193,1.6753,0.15,0.05,0.70,0.448,478.184
_Autarch_,2556,214,147,190,109,6,0.0837,0.0016,0.0016,8,0.9953,1.1053,7,0.6209,0.6895,122.9242,17.963,5.9116,0.70,0.05,0.93,0.3981,0.2472
_Backers_,1490,1937,94,3069,63,1,1.3,0.2799,0.0,10,3.965,1.292,14,0.872,0.2841,129.701,34.9217,3.0161,0.93,0.07,1.00,0.794,0.6924
_capergames,2709,2830,57,1154,2315,29,1.0447,1.7265,0.0255,19,1.622,1.4055,46236,122.892,106.4922,100.697,28.7413,2.6421,0.60,0.25,0.78,0.383,47.0676
_FG_College_,278,1029,154,250,321,6,3.7014,3.6367,1.1115,14,0.891,3.564,29426,61.482,245.928,109.187,39.1514,1.344,0.28,0.04,0.43,0.426,26.1913
_LaFabrique,2057,1460,160,2229,1771,149,0.7098,0.2684,0.1099,11,1.2,0.5384,2190,8.759,3.9296,122.313,6.1983,2.3721,0.43,0.21,0.65,0.754,6.6043
_meghansmith_,2047,10931,14,515,273,1,5.34,7.8168,0.2697,30,1.464,2.8427,644972,16241.627,31537.1398,87.618,10.9044,1.4559,0.07,0.17,0.16,0.621,10086.0504
_sattva,2790,1664,126,1687,1165,87,0.5964,0.6584,0.0724,14,1.158,0.6864,40701,44.188,26.1932,127.893,29.4887,1.9281,0.47,0.12,0.69,0.471,20.8125
_WickedHeart,2386,88117,83,3242,2146,9,36.9308,3.7573,0.1002,85,0.651,0.2008,254713,2392.817,738.0682,58.932,3.5634,1.2,0.03,0.06,0.22,0.41,981.055
0pensource,3358,4974,121,6648,2683,402,1.4812,0.0783,0.0342,23,0.682,0.1026,8014,15.112,2.2732,109.374,18.456,1.7208,0.66,0.04,0.94,0.49,7.4049
18dMedia,2456,453865,106,11399,4071,42,184.7985,0.0098,0.16,2,0.014,0.0012,2,0.634,0.0556,111.923,1.3362,1.0,0.00,0.60,0.99,0.624,0.3956
18SportsAndy,2570,23651,157,2141,984,24,9.2027,2.6813,0.1105,90,5.716,2.6698,32822,127.303,59.4596,119.684,27.5356,1.34,0.10,0.12,0.66,0.788,100.3148
1stGunn_Show,521,417,11,22,128,0,0.8004,2.3647,0.1132,12,0.6595,12.5,29435,425.7002,8068.9545,79.4005,19.7626,1.7414,0.28,0.20,0.22,0.1823,77.6052
25thCG,1343,467,96,433,252,11,0.3477,0.1519,0.041,14,0.8736,0.9261,32,0.6383,0.6767,116.6275,41.987,1.2037,0.12,0.09,0.82,0.2614,0.1669
2TomatoesGms,485,1091,76,1895,252,55,2.2495,4.3959,1.1918,96,2.16,1.1398,19805,49.976,26.3726,112.654,1.367,1.7972,0.35,0.16,0.40,0.729,36.4325
3DDZYN,214,92,157,19,47,0,0.4299,0.2477,0.0935,9,0.8966,4.1053,37,0.8736,4.0,100.3793,18.3416,1.9677,0.36,0.15,0.44,0.2529,0.2209
3Js3KimsYoongi,345,7582,20,329,497,3,21.9768,20.2435,2.429,7,0.038,0.1155,559988,17788.699,54068.9939,103.655,15.8943,1.2946,0.53,0.37,0.10,0.868,15440.5907
3kwa,3531,11521,0,287,376,64,3.2628,1.6899,0.2192,7,0.097,0.338,143710,3337.457,11628.77,111.995,12.8098,1.3117,0.08,0.13,0.24,0.781,2606.5539
3rdEchelon,2199,6749,158,1146,323,12,3.0691,3.4116,0.121,265,3.059,2.6693,29120,152.101,132.7234,89.908,16.9105,1.3158,0.04,0.08,0.50,0.395,60.0799
4HOGS_GAMES,1454,427,43,774,2373,24,0.2937,0.0337,0.0358,13,0.5293,0.292,2045,8.4169,4.6434,80.3653,35.8105,3.1724,0.14,0.09,0.28,0.2436,2.0503
4NewSquare,2407,742,137,3502,380,45,0.3083,0.135,0.1172,44,1.1456,0.2359,119,2.6505,0.5457,130.749,19.5154,1.2836,0.19,0.02,0.63,0.7739,2.0512
4Sevens,3954,705,160,2347,46,52,0.1783,0.0723,0.0106,12,0.6484,0.1917,4,0.3415,0.101,106.9669,26.2552,2.2393,0.23,0.13,0.48,0.2478,0.0846
5toclose,3253,24572,154,11811,11391,1199,7.5536,1.3034,0.0006,6,0.319,0.0113,10,0.1095,0.0039,116.5095,26.429,2.274,0.17,0.00,0.99,0.0714,0.0078
893lafm,195,340,144,132,2051,0,1.7436,0.5538,0.5026,6,0.3535,0.8409,124066,484.035,1151.4167,128.4745,10.5955,1.94,0.32,0.09,0.66,0.6242,302.1347
8bitpxl,1178,4754,128,12954,10400,199,4.0357,5.2623,0.0127,103,1.807,0.1395,153,0.864,0.0667,79.236,26.7091,2.2736,0.20,0.05,0.22,0.181,0.1564
9Lamper,2360,13946,18,908,1038,0,5.9093,6.2521,0.2263,36,1.598,1.7599,195544,3530.776,3888.5198,89.309,8.6073,1.4242,0.03,0.13,0.12,0.616,2174.958
A1GOY,3435,51380,152,12273,1123,217,14.9578,0.071,0.0434,303,5.384,0.4387,182534,730.023,59.482,86.094,9.3548,1.2,0.03,0.13,0.26,0.268,195.6462
AAltherrcjusd,332,602,0,118,180,1,1.8133,19.8886,1.1175,184,0.7377,3.4322,126214,1705.5574,7935.178,107.1931,27.8368,1.5847,0.21,0.24,0.14,0.6958,1186.7268
aaronareed,1853,1992,154,1569,899,79,1.075,1.1802,0.1743,215,3.573,2.2772,148950,183.37,116.8706,116.994,23.1368,1.177,0.30,0.07,0.37,0.582,106.7213
aawato,1220,9885,142,1960,401,15,8.1025,8.1361,0.1934,309,4.547,2.3199,103062,957.84,488.6939,87.343,13.3008,1.3654,0.05,0.22,0.22,0.349,334.2862
ABCDjamesbond,294,4773,35,160,2155,2,16.2347,0.8707,2.483,2,0.053,0.3312,156878,1480.419,9252.6187,124.796,49.4367,2.2476,0.63,0.05,0.21,0.746,1104.3926
abcxyz_jp,3280,9290,159,990,830,25,2.8323,5.1424,0.032,25,1.41,1.4242,30209,99.811,100.8192,115.433,3.1175,5.3481,0.66,0.11,0.85,0.276,27.5478
aboardgamelife,3279,5107,164,622,705,21,1.5575,4.6435,0.0744,23,1.732,2.7846,2261,5.938,9.5466,106.577,33.9595,1.4205,0.18,0.17,0.42,0.317,1.8823
AccelerateMeCo,1575,150,90,69,92,5,0.0952,0.1473,0.0546,10,0.8667,1.5072,437,6.775,11.7826,134.1,44.1666,1.6216,0.31,0.05,0.31,0.8833,5.9844
AceAnbender,3380,60289,83,24220,1017,656,17.837,4.2246,0.0497,227,9.432,0.3894,78052,171.177,7.0676,81.428,7.0253,1.0588,0.02,0.11,0.30,0.325,55.6325
Acoustic_Camera,1021,53,160,120,339,2,0.0519,0.0362,0.0088,6,1.0392,0.4417,60,2.7255,1.1583,123.7647,24.55,1.8125,0.63,0.18,0.80,0.6471,1.7637
ActionZacku,3498,5140,138,2956,646,36,1.4694,1.1518,0.1038,4775,24.276,8.2124,162913,1599.117,540.9733,102.915,10.6494,1.65,0.04,0.21,0.34,0.723,1156.1616
AD360eu,918,11764,155,16421,16796,618,12.8148,2.0076,0.1481,8,0.668,0.0407,573,1.728,0.1052,91.461,13.8599,2.0305,0.59,0.26,0.93,0.323,0.5581
adelaide_rain,2641,13566,116,246,227,8,5.1367,7.9281,0.0557,33,1.336,5.4309,175987,1666.467,6774.2561,79.093,17.2056,1.1143,0.04,0.20,0.20,0.167,278.3
AdhilPatel,615,1353,104,983,1351,15,2.2,2.8049,0.1675,46,0.914,0.9298,14573,55.33,56.2869,99.51,32.0907,1.7207,0.22,0.07,0.53,0.171,9.4614
adversitygames,774,807,112,315,442,11,1.0426,0.2145,0.0788,9,1.261,2.9905,8290,16.9719,40.2476,121.7952,8.3267,2.5141,0.81,0.21,0.81,0.6814,11.5646
AECoker,2428,2193,155,1239,1568,49,0.9032,0.619,0.2615,64,1.373,1.1082,27165,120.29,97.0864,115.896,17.4234,1.453,0.23,0.14,0.29,0.703,84.5639
AffinitiVC,484,106,140,241,260,4,0.219,0.3967,0.1384,16,1.4059,0.5892,80773,1130.8515,473.9253,117.4059,30.0196,1.8919,0.37,0.08,0.41,0.9208,1041.288
afterallmylove,1640,90343,116,18627,18424,371,55.0872,197.136,0.4024,106,4.51,0.2421,148673,552.928,29.6842,100.281,24.5368,2.0225,0.09,0.29,0.21,0.928,513.1172
AGCemporium,673,1459,143,351,1069,30,2.1679,3.2229,0.4606,27,1.131,3.2222,611744,908.881,2589.4046,128.086,19.5068,2.6314,0.77,0.15,0.70,0.545,495.3401
AgileFaye,3994,4529,93,2262,1696,114,1.134,1.2439,0.1262,58,0.713,0.3152,65113,156.948,69.3846,110.925,26.0091,1.4326,0.28,0.09,0.28,0.575,90.2451
ahrcletterpress,368,135,74,321,418,4,0.3668,0.0,0.0951,33,2.5159,0.9875,37,3.7143,1.4579,122.881,17.5909,1.0164,0.48,0.06,0.36,0.8571,3.1835
akasha111182,2483,33079,57,270,561,48,13.3222,13.3778,0.1156,182,1.566,5.8,415004,3903.934,14459.0148,94.795,17.5999,1.3171,0.08,0.13,0.28,0.31,1210.2195
alanbahr,3155,15070,98,729,183,37,4.7765,3.412,0.0479,45,2.792,3.8299,63203,111.099,152.3992,81.809,14.8936,1.5385,0.05,0.10,0.24,0.281,31.2188
alaskangeles,623,968,0,2516,154,2,1.5538,14.8844,0.2279,1398,29.5533,10.8064,3636865,10479.6891,3832.0008,77.5348,11.5461,1.4686,0.19,0.27,0.17,0.4848,5080.5533
AlexisJanson,3281,4676,152,1181,235,88,1.4252,1.1213,0.0049,109,2.39,2.0237,3624,3.905,3.3065,108.169,16.1899,1.1321,0.05,0.03,0.46,0.058,0.2265
alexneskin,3444,1499,143,477,237,31,0.4352,0.025,0.0148,10,0.134,0.2809,5329,7.916,16.5954,73.656,12.421,1.5462,0.25,0.06,0.75,0.087,0.6887
alisongilbert,3260,1240,118,406,195,19,0.3804,0.7798,0.0589,21,0.568,1.399,26196,167.5,412.5616,85.938,24.3256,1.1281,0.20,0.04,0.35,0.267,44.7225
