screen_name,life_long,Number_of_statues,Length_of_description,followers_count,friends_count,listed_number,Avg_tweets_per_day,Avg_favorite_per_day,Avg_retweets_per_day,Most_favorited,Avg_favorited_per_tweet,Avg_favorites_per_user,Most_retweeted,Avg_retweeted_per_tweet,Avg_retweets_per_user,Avg_length_of_tweets,sentiment_score,Avg_hashtags_per_tweet,tweets_with_hashtags,tweets_with_media,tweets_with_url,retweet_rate,influence_score,Followwonk,,
kayleebird_,1591,13493,0,923,291,2,8.4808,13.2495,0.5525,54,0.655,0.7096,514068,37301.526,40413.3543,95.015,7.7952,1.125,0.02,0.14,0.29,0.96,35809.465,50,,
goldenwaave,2923,48659,18,2446,2326,9,16.6469,2.2443,0.2737,22,0.16,0.0654,1089786,33634.413,13750.7821,92.084,0.0252,1.5,0.01,0.17,0.35,0.842,28320.1757,52,,
KAy_TIEmyshoes,2570,30404,75,3401,1449,7,11.8304,13.5304,0.2638,4654,14.854,4.3675,357179,29820.749,8768.2296,83.405,9.2927,1.2857,0.01,0.36,0.14,0.771,22991.7975,64,,
mmockingbird,3379,5002,35,5784,1246,142,1.4803,3.9423,0.2735,1931,5.118,0.8849,492781,16835.933,2910.7768,110.632,1.8336,1.16,0.03,0.19,0.12,0.96,16162.4957,65,,
3Js3KimsYoongi,345,7582,20,329,497,3,21.9768,20.2435,2.429,7,0.038,0.1155,559988,17788.699,54068.9939,103.655,15.8943,1.2946,0.53,0.37,0.1,0.868,15440.5907,46,,
lettchoco,2282,16417,73,342,236,7,7.1941,5.7204,0.3076,117,0.507,1.4825,268680,18813.635,55010.6287,103.729,5.0338,1.5652,0.02,0.21,0.18,0.742,13959.7172,43,,
IamKaylaVon,2819,21632,30,554,415,3,7.6736,0.8219,0.2444,35,0.162,0.2924,289412,18985.37,34269.6209,84.125,4.5443,1.1714,0.07,0.36,0.2,0.73,13859.3201,41,,
EvesTitties,1849,39581,23,902,342,10,21.4067,10.2985,0.4278,20,0.134,0.1486,293608,16519.548,18314.3548,88.775,-4.9506,1.25,0.02,0.26,0.37,0.809,13364.3143,53,,
mrlindner,3379,19690,17,410,216,65,5.8272,3.4247,0.2752,5,0.038,0.0927,3628688,13171.424,32125.4244,125.303,10.5331,1.7463,0.2,0.1,0.27,0.946,12460.1671,51,,
Sleepie_Cherrie,819,1186,29,38,63,0,1.4481,1.9609,0.956,10,0.1435,3.3684,330047,12029.324,282372.5526,85.4103,2.2121,1.1111,0.02,0.36,0.27,0.9103,10950.2936,25,,
torilovestoast,2152,25884,132,1342,2227,14,12.0279,27.1882,0.3016,185,1.711,1.275,307813,15562.733,11596.6714,80.95,5.1964,1.5217,0.02,0.48,0.11,0.696,10831.6622,52,,
_meghansmith_,2047,10931,14,515,273,1,5.34,7.8168,0.2697,30,1.464,2.8427,644972,16241.627,31537.1398,87.618,10.9044,1.4559,0.07,0.17,0.16,0.621,10086.0504,42,,
AmberNLyon,1748,1307,97,197,354,5,0.7477,1.3267,0.3678,14,0.484,2.4569,1701286,14883.215,75549.3147,107.296,16.7985,1.3986,0.28,0.18,0.24,0.672,10001.5205,36,,
Gwennchan,2114,25921,45,144,489,9,12.2616,15.4574,0.4186,8,0.177,1.2292,1089189,11003.46,76412.9167,102.867,12.8297,1.5439,0.11,0.45,0.11,0.891,9804.0829,45,,
jephjonez,3694,15293,125,419,490,74,4.14,5.7794,0.2342,21,0.142,0.3389,449278,11093.217,26475.4582,123.98,-2.2384,1.4098,0.06,0.09,0.14,0.879,9750.9377,49,,
Chisuto,3451,6386,150,335,351,26,1.8505,2.1689,0.2069,12,0.36,1.0746,501248,11931.494,35616.4,114.091,23.7678,1.3149,0.18,0.14,0.19,0.736,8781.5796,38,,
lilstrange_,1594,1832,53,271,218,2,1.1493,5.6274,0.5157,13,0.21,0.7749,1144887,8894.741,32821.9225,60.995,14.3714,1.44,0.07,0.08,0.11,0.862,7667.2667,38,,
