screen_name,life_long,Number_of_statues,Length_of_description,followers_count,friends_count,listed_number,Avg_tweets_per_day,Avg_favorite_per_day,Avg_retweets_per_day,Most_favorited,Avg_favorited_per_tweet,Avg_favorites_per_user,Most_retweeted,Avg_retweeted_per_tweet,Avg_retweets_per_user,Avg_length_of_tweets,sentiment_score,Avg_hashtags_per_tweet,tweets_with_hashtags,tweets_with_media,tweets_with_url,retweet_rate,influencial
__Suwan__W__,394,384,0,3,132,0,0.9746,0.0,0.2766,3,0.25,32.0,1175,74.6615,9556.6667,118.5443,51.7987,2.6266,0.63,0.04,0.88,0.3073,0
_meghansmith_,2020,10805,14,501,241,1,5.349,7.7802,0.2733,30,1.464,2.9222,644972,16241.627,32418.4172,87.618,10.9044,1.4559,0.07,0.17,0.16,0.621,1
_sattva,2763,1640,126,1664,1149,88,0.5936,0.6355,0.0731,14,1.158,0.6959,40701,44.188,26.5553,127.893,29.4887,1.9281,0.47,0.12,0.69,0.471,0
_WickedHeart,2359,87918,83,3164,2126,8,37.2692,3.7423,0.1013,85,0.651,0.2058,254713,2392.817,756.2633,58.932,3.5634,1.2,0.03,0.06,0.22,0.41,0
0pensource,3331,4887,121,6645,2677,403,1.4671,0.0727,0.0345,23,0.682,0.1026,8014,15.112,2.2742,109.374,18.456,1.7208,0.66,0.04,0.94,0.49,0
18dMedia,2429,428928,106,11406,4083,43,176.5862,0.0103,0.1618,2,0.014,0.0012,2,0.634,0.0556,111.923,1.3362,1.0,0.00,0.60,0.99,0.624,1
18SportsAndy,2543,23391,157,2132,982,24,9.1982,2.639,0.1117,90,5.716,2.6811,32822,127.303,59.7106,119.684,27.5356,1.34,0.10,0.12,0.66,0.788,1
3DDZYN,187,87,157,17,47,0,0.4652,0.262,0.107,9,0.8966,4.5882,37,0.8736,4.4706,100.3793,18.3416,1.9677,0.36,0.15,0.44,0.2529,0
3Js3KimsYoongi,318,7212,20,336,489,3,22.6792,20.8899,2.6352,7,0.038,0.1131,559988,17788.699,52942.5565,103.655,15.8943,1.2946,0.53,0.37,0.10,0.868,1
4HOGS_GAMES,1427,427,43,775,2377,24,0.2992,0.0343,0.0364,13,0.5293,0.2916,2045,8.4169,4.6374,80.3653,35.8105,3.1724,0.14,0.09,0.28,0.2436,0
4Sevens,3927,696,160,2345,46,52,0.1772,0.0726,0.0107,12,0.6484,0.1919,4,0.3415,0.1011,106.9669,26.2552,2.2393,0.23,0.13,0.48,0.2478,0
8bitpxl,1151,4655,149,12884,10282,197,4.0443,5.1712,0.013,103,1.807,0.1403,153,0.864,0.0671,79.236,26.7091,2.2736,0.20,0.05,0.22,0.181,0
9Lamper,2333,13974,18,916,1045,0,5.9897,6.3013,0.2289,36,1.598,1.7445,195544,3530.776,3854.559,89.309,8.6073,1.4242,0.03,0.13,0.12,0.616,1
A1GOY,3408,50946,152,12197,1111,215,14.9489,0.0625,0.0437,303,5.384,0.4414,182534,730.023,59.8527,86.094,9.3548,1.2,0.03,0.13,0.26,0.268,0
aaronareed,1826,1971,154,1565,897,77,1.0794,1.1763,0.1769,215,3.573,2.2831,148950,183.37,117.1693,116.994,23.1368,1.177,0.30,0.07,0.37,0.582,1
ABCDjamesbond,267,4375,35,145,2012,2,16.3858,0.8727,2.7341,2,0.053,0.3655,156878,1480.419,10209.7862,124.796,49.4367,2.2476,0.63,0.05,0.21,0.746,1
abcxyz_jp,3253,9236,159,984,829,25,2.8392,5.1675,0.0323,25,1.41,1.4329,30209,99.811,101.4339,115.433,3.1175,5.3481,0.66,0.11,0.85,0.276,0
aboardgamelife,3252,4847,164,575,669,21,1.4905,4.3958,0.075,23,1.732,3.0122,2261,5.938,10.327,106.577,33.9595,1.4205,0.18,0.17,0.42,0.317,0
Acoustic_Camera,994,51,160,111,339,2,0.0513,0.0372,0.0091,6,1.0392,0.4775,60,2.7255,1.2523,123.7647,24.55,1.8125,0.63,0.18,0.80,0.6471,1
ActionZacku,3471,4686,151,2882,627,36,1.35,1.0821,0.1046,4775,24.276,8.4233,162913,1599.117,554.8636,102.915,10.6494,1.65,0.04,0.21,0.34,0.723,1
AD360eu,891,11665,155,16206,15168,616,13.092,2.0281,0.1526,8,0.668,0.0412,573,1.728,0.1066,91.461,13.8599,2.0305,0.59,0.26,0.93,0.323,0
AECoker,2401,2140,159,1216,1536,50,0.8913,0.5856,0.2645,64,1.373,1.1291,27165,120.29,98.9227,115.896,17.4234,1.453,0.23,0.14,0.29,0.703,1
AgileFaye,3967,4439,93,2222,1682,112,1.119,1.18,0.127,58,0.713,0.3209,65113,156.948,70.6337,110.925,26.0091,1.4326,0.28,0.09,0.28,0.575,1
ahrcletterpress,341,126,74,297,379,4,0.3695,0.0,0.1026,33,2.5159,1.0673,37,3.7143,1.5758,122.881,17.5909,1.0164,0.48,0.06,0.36,0.8571,1
alanbahr,3128,14889,98,726,186,37,4.7599,3.3683,0.0483,45,2.792,3.8457,63203,111.099,153.0289,81.809,14.8936,1.5385,0.05,0.10,0.24,0.281,0
alaskangeles,596,924,0,2543,153,2,1.5503,15.2433,0.2383,1398,29.5533,10.6917,3636865,10479.6891,3791.315,77.5348,11.5461,1.4686,0.19,0.27,0.17,0.4848,0
AlexisJanson,3254,4050,153,1139,228,89,1.2446,0.9831,0.0049,109,2.39,2.0983,3624,3.905,3.4284,108.169,16.1899,1.1321,0.05,0.03,0.46,0.058,0
alisongilbert,3233,1235,118,404,189,19,0.382,0.7795,0.0594,21,0.568,1.4059,26196,167.5,414.604,85.938,24.3256,1.1281,0.20,0.04,0.35,0.267,0
Alizetibikes,466,190,28,61,362,2,0.4077,0.5021,0.0901,6,0.6793,2.0492,685,10.5326,31.7705,116.2065,26.8661,2.1849,0.65,0.05,0.82,0.5054,1
AllArduino,1450,54559,31,2461,50,125,37.6269,0.0,0.0,5,0.358,0.1455,2,0.088,0.0358,86.508,7.1305,1.0,1.00,0.00,1.00,0.08,0
AlphaMecha,1353,534,43,25,66,2,0.3947,0.0059,0.0081,8,0.2399,5.0,15,0.1574,3.28,127.1171,18.7157,2.3054,0.82,0.57,0.98,0.0902,0
