screen_name,life_long,Number_of_statues,Length_of_description,followers_count,friends_count,listed_number,Avg_tweets_per_day,Avg_favorite_per_day,Avg_retweets_per_day,Most_favorited,Avg_favorited_per_tweet,Avg_favorites_per_user,Most_retweeted,Avg_retweeted_per_tweet,Avg_retweets_per_user,Avg_length_of_tweets,sentiment_score,Avg_hashtags_per_tweet,tweets_with_hashtags,tweets_with_media,tweets_with_url,retweet_rate,influencial
CryptoCrazyCat,839,1007,0,73,221,0,1.2002,1.5626,1.0107,9,0.0964,1.2877,17754,138.4985,1849.8082,116.5026,14.7316,2.4226,0.44,0.13,0.3,0.8903,1
TheMotleyGeek,399,1007,154,234,314,7,2.5238,1.183,0.1629,41,2.56,10.9402,140523,338.321,1445.8162,119.567,27.6523,2.9182,0.7,0.2,0.66,0.332,0
ealbishri,2438,1008,157,453,425,5,0.4135,0.2482,0.1817,10,0.2648,0.5828,239436,1395.1424,3070.5453,106.5356,14.7594,1.8053,0.23,0.16,0.5,0.5045,1
justplainloco,602,1022,94,189,160,1,1.6977,9.5731,0.0282,163,1.837,9.7196,26122,58.247,308.1852,91.767,11.6437,1,0,0.01,0.34,0.133,0
SpritesNDice,1780,1028,129,327,94,11,0.5775,0.4213,0.109,56,1.494,4.5688,117446,138.456,423.4128,108.04,23.9856,1.2164,0.27,0.33,0.61,0.56,1
BluffCreekElem,1221,1045,0,269,37,3,0.8559,0.0852,0.1409,50,2.554,9.4944,50,0.624,2.3197,100.175,35.3274,1.2,0.09,0.84,0.11,0.35,0
FailroadExpress,1963,1050,157,229,384,27,0.5349,0.1207,0.0678,32,0.542,2.3668,21866,35.695,155.8734,110.413,16.3213,2.8767,0.74,0.12,0.59,0.284,0
Mary_Bellamy,2838,1066,154,355,593,18,0.3756,0.0536,0.1039,37,0.299,0.8423,3753,7.769,21.8845,108.865,24.1293,2.081,0.21,0.15,0.39,0.494,0
dwspainting,2669,1088,0,71,22,1,0.4076,0.0082,0.0026,37,0.077,1.0845,10,0.048,0.6761,72.664,14.7815,2.5,0,0.01,0.26,0.017,0
D_B_Green,1166,1090,117,403,427,26,0.9348,0.295,0.0232,24,1.069,2.6526,18011,34.838,86.4467,128.972,39.1515,2.8165,0.42,0.07,0.75,0.25,0
ChambonSophie,2421,1091,153,364,108,77,0.4506,0.3086,0.0933,25,1.494,4.1044,484,6.14,16.8681,128.416,14.0409,2.0128,0.7,0.09,0.64,0.645,1
lanzastudy,483,1111,48,151,436,1,2.3002,2.9317,1.8799,7,0.105,0.6954,391,6.106,40.4371,122.364,17.6729,1.8536,0.36,0.2,0.35,0.922,1
kncklsndwch,1714,1139,127,5584,9,68,0.6645,0.3081,0.1733,4813,32.67,5.8506,2557,16.641,2.9801,83.968,18.8986,1.321,0.08,0.34,0.3,0.718,1
RedPlatePress,1264,1148,28,614,711,15,0.9082,1.0111,0.2484,26,2.464,4.013,1760,9.511,15.4902,119.038,25.8813,1.4091,0.29,0.36,0.39,0.757,1
GenesisAPS,2985,1166,160,918,937,16,0.3906,0.1132,0.0653,203,1.709,1.8617,94,1.512,1.6471,117.716,33.9999,2.0522,0.4,0.29,0.55,0.659,1
boardgamerev,674,1174,148,6430,4521,46,1.7418,0.365,0.1499,88,1.816,0.2824,661,9.747,1.5159,104.275,27.2575,1.98,0.35,0.16,0.82,0.309,0
centrodarte,3141,1190,145,443,218,14,0.3789,0.1385,0.0611,58,1.013,2.2867,6917,10.993,24.8149,115.244,4.8311,1.8185,0.62,0.29,0.7,0.503,1
pgh_gamer,351,1190,100,252,661,4,3.3903,5.8148,0.2707,50,2.234,8.8651,217778,625.397,2481.7341,102.66,25.0926,1.2886,0.15,0.1,0.4,0.148,0
Robotschampion,907,1190,63,117,41,54,1.312,0.0022,0.0011,6,0.346,2.9573,8,0.236,2.0171,107.114,12.6823,2.0543,0.94,0.22,0.9,0.175,0
james_r_eads,2032,1213,65,2165,105,29,0.5969,0.0025,0.003,16,1.728,0.7982,16,0.555,0.2564,94.532,14.8636,1.125,0.02,0,0.99,0.364,0
maxplayingcards,2603,1233,44,1118,38,16,0.4737,0.0008,0.0023,27,0.613,0.5483,7,0.688,0.6154,130.743,15.2812,2.3716,0.88,0.54,0.99,0.566,1
alisongilbert,3233,1235,118,404,189,19,0.382,0.7795,0.0594,21,0.568,1.4059,26196,167.5,414.604,85.938,24.3256,1.1281,0.2,0.04,0.35,0.267,0
JustinSirois,3276,1235,125,812,1193,23,0.377,0.1404,0.0406,28,0.493,0.6071,44665,203.292,250.3596,101.749,20.7998,2.0533,0.23,0.08,0.4,0.265,0
TheSpellCast,352,1245,153,978,882,25,3.5369,8.642,0.9602,68,2.267,2.318,122453,298.256,304.9652,120.899,23.0499,2.5242,0.45,0.1,0.5,0.523,1
thediceyreview1,825,1248,137,265,278,11,1.5127,1.1018,0.3927,54,1.396,5.2679,257999,264.265,997.2264,107.738,36.5058,1.3654,0.3,0.23,0.47,0.466,0
EnigmaticEvents,1073,1253,92,211,246,32,1.1678,0.3635,0.0578,15,0.402,1.9052,26436,27.377,129.7488,123.817,15.0312,1.8325,0.38,0.2,0.72,0.231,0
GMTimD,350,1263,82,158,300,2,3.6086,16.2029,1.0114,24,1.388,8.7848,48290,79.492,503.1139,101.571,27.1873,1.4,0.1,0.09,0.32,0.401,0
AreaGamesFC,1539,1302,75,266,687,5,0.846,0.0643,0.0435,8,0.278,1.0451,251,0.579,2.1767,81.873,1.6785,2.1429,0.28,0.55,0.46,0.173,0
BackerGuru,530,1303,158,2983,3636,27,2.4585,0.0302,1.5755,6,0.054,0.0181,21216,39.751,13.3258,129.554,29.3604,1.4867,0.26,0.07,0.62,0.845,1
ScontiDaCinema,964,1308,48,4671,4392,15,1.3568,0.2293,0.0249,22,2.045,0.4378,10,1.519,0.3252,118.371,1.6914,1.2889,0.23,0.72,1,0.919,1
incubatoredu,1546,1310,156,1344,899,70,0.8473,0.7982,0.1539,40,3.114,2.317,584,4.512,3.3571,116.536,38.36,1.5833,0.64,0.19,0.51,0.642,1
MPRG_Victoria,2875,1317,63,1683,1453,47,0.4581,0.0118,0.055,15,0.425,0.2525,46,0.712,0.4231,122.402,32.5405,2.1259,0.41,0.28,0.65,0.365,0
BushidoGCT,2543,1332,35,1077,703,22,0.5238,0.3689,0.0838,24,1.328,1.2331,314,1.978,1.8366,86.949,31.9914,2.0559,0.14,0.21,0.49,0.539,1
WillCHogan3,2363,1334,73,169,1207,5,0.5645,0.6267,0.1849,8,0.132,0.7811,200938,4658.052,27562.4379,109.959,-3.0838,1.2529,0.09,0.04,0.58,0.465,0
nook_pod,685,1335,111,1265,4514,52,1.9489,2.9737,0.4964,44,1.26,0.996,20888,25.576,20.2182,118.637,44.7822,1.7214,0.32,0.13,0.62,0.519,1
PoeticStudio,1593,1342,160,4356,354,58,0.8424,2.0898,0.1638,46,2.892,0.6639,88608,117.169,26.8983,122.248,29.5595,2.4182,0.48,0.1,0.63,0.636,1
The_Crowds,1496,1352,0,11947,37,25,0.9037,0,0,66,2.217,0.1856,44,1.202,0.1006,138.37,32.3028,1.7029,0.14,0.01,1,0.207,0
The_Crowds,1496,1352,0,11947,37,25,0.9037,0,0,66,2.217,0.1856,44,1.202,0.1006,138.37,32.3028,1.7029,0.14,0.01,1,0.207,0
joy_m_banks,2254,1369,157,286,248,28,0.6074,0.5377,0.0479,34,1.152,4.028,148,1.658,5.7972,103.643,27.0832,1.6788,0.79,0.12,0.19,0.354,0
Hapy_One,2646,1371,152,463,594,43,0.5181,0.0847,0.1183,15,0.171,0.3693,71233,105.58,228.0346,90.754,14.4901,1.9966,0.29,0.12,0.34,0.318,0
Russell_Brower,2933,1384,103,19476,624,398,0.4719,0.8036,0.166,407,7.077,0.3634,263338,304.504,15.6348,109.995,39.6121,1.5433,0.34,0.19,0.18,0.728,1
DuchyChildcare,3408,1385,146,257,686,9,0.4064,0.3688,0.1781,11,0.505,1.965,20042,78.189,304.2374,115.817,39.2271,1.5275,0.27,0.15,0.25,0.708,1
IndieDiscoverer,425,1388,120,1118,837,13,3.2659,5.8329,0.3412,13,1.395,1.2478,210,5.194,4.6458,121.4,18.7845,4.7812,0.95,0.08,0.82,0.823,1
UnmannedInsight,1460,1416,114,471,994,26,0.9699,0.3877,0.2685,6,0.183,0.3885,3913,26.914,57.1423,104.518,10.0376,1.8534,0.27,0.17,0.87,0.448,0
MyTopKS,1295,1425,76,1387,1551,26,1.1004,1.3768,0.0054,10,0.814,0.5869,5,0.082,0.0591,107.455,27.8687,1.8696,0.02,0.01,0.99,0.062,0
manixur,116,1439,91,75,59,1,12.4052,33.5862,1.7328,86,1.834,24.4533,43754,100.792,1343.8933,105.992,16.0238,1.0806,0.06,0.02,0.42,0.239,0
TooManyGames,3570,1443,101,4254,586,45,0.4042,0.3916,0.1342,888,7.838,1.8425,4783,17.201,4.0435,107.681,26.4694,1.4802,0.2,0.16,0.29,0.738,1
StarcalledStudi,2127,1455,90,2055,2568,41,0.6841,1.9586,0.0964,50,4.443,2.162,541,4.983,2.4248,123.543,17.5173,3.5742,0.36,0.06,0.68,0.596,1
jacobleewick,3137,1459,44,3787,234,27,0.4651,0.4552,0.0571,273,6.517,1.7209,19503,23.251,6.1397,66.779,21.3096,1.2708,0.05,0.14,0.41,0.402,0
msraynsford,2688,1469,48,358,104,15,0.5465,0.083,0.0108,10,0.445,1.243,39,0.353,0.986,117.498,10.4544,1.2,0.02,0.2,0.84,0.146,0
SweetnSpicyBook,310,1473,147,560,1162,8,4.7516,0.3581,2.4387,11,0.083,0.1482,1262,24.335,43.4554,125.627,32.8985,2.719,0.61,0.12,0.46,0.832,1
ZenitKensei,2203,1504,98,9395,4621,57,0.6827,0.0386,0.005,25,0.96,0.1022,87,1.066,0.1135,82.825,20.4001,1.4762,0.02,0.22,0.88,0.358,0
oli_woodman,3413,1515,37,328,254,8,0.4439,0.109,0.0519,55,1.119,3.4116,4457,14.685,44.7713,75.879,12.493,1.3627,0.1,0.19,0.25,0.286,0
GoodmanGames,3292,1518,9,5822,202,273,0.4611,0.4547,0.0729,461,7.5,1.2882,248278,260.078,44.6716,106.015,20.8371,1.7436,0.2,0.34,0.54,0.612,1
rpg_crunch,539,1542,160,405,787,16,2.8609,2.3154,1.1725,9,0.501,1.237,90269,258.34,637.8765,118.187,26.5514,1.9731,0.34,0.08,0.34,0.705,1
OandFPodcast,2470,1543,160,1296,1581,70,0.6247,0.1008,0.0785,40,1.49,1.1497,125630,188.033,145.0872,124.905,25.5273,1.6345,0.48,0.06,0.73,0.706,1
IrregularMag,3056,1544,108,1179,389,31,0.5052,0.0157,0.0049,5,0.257,0.218,49,0.269,0.2282,76.663,13.1183,1.25,0.01,0.01,0.93,0.133,0
jdaman79,2739,1544,157,119,225,3,0.5637,3.1961,0.2125,18,0.385,3.2353,232939,1913.185,16077.1849,105.715,16.2447,1.4174,0.22,0.11,0.35,0.6,1
kolossalgames,338,1559,163,2257,879,26,4.6124,15.9408,0.6479,85,6.289,2.7864,283,1.866,0.8268,108.47,38.3483,1.3068,0.35,0.09,0.54,0.555,1
logygames,2725,1574,38,244,124,10,0.5776,0.2628,0.0936,91,1.375,5.6352,36301,75.154,308.0082,93.649,5.7267,1.6875,0.05,0.17,0.66,0.571,1
GeorgeSocially,1908,1575,114,213,292,6,0.8255,0.7568,0.2039,2644,3.508,16.4695,1143292,1894.346,8893.6432,95.444,15.9951,1.5805,0.35,0.32,0.27,0.508,1
tanguanikia,2051,1585,44,179,454,9,0.7728,0.0936,0.1078,16,0.166,0.9274,219582,421.295,2353.6034,80.6,18.1482,1.405,0.2,0.11,0.56,0.246,0
BestAppAwards,1999,1628,95,11243,9715,138,0.8144,0.3332,0.0525,12,1.172,0.1042,164,0.808,0.0719,117.824,50.0417,1.7494,0.42,0.1,0.73,0.335,0
_sattva,2763,1640,126,1664,1149,88,0.5936,0.6355,0.0731,14,1.158,0.6959,40701,44.188,26.5553,127.893,29.4887,1.9281,0.47,0.12,0.69,0.471,0
bragrman,429,1679,132,643,1313,9,3.9138,5.4382,0.1608,3075,4.857,7.5537,124875,505.901,786.7823,106.491,9.1551,1.1951,0.08,0.07,0.49,0.13,0
DcanDivaCreates,1778,1694,151,449,436,33,0.9528,0.0928,0.0107,8,0.346,0.7706,5428,6.658,14.8285,91.501,24.0741,2.4405,0.78,0.24,0.69,0.127,0
DangerFeedsRage,558,1704,113,1283,469,12,3.0538,0.0125,0.6989,33,0.997,0.7771,7024,12.049,9.3913,114.897,9.3045,1.427,0.27,0.16,0.4,0.512,1
TheAtariGamer,120,1711,129,1205,982,7,14.2583,15.625,1.65,58,2.685,2.2282,149536,200.841,166.673,106.108,22.6528,2.3438,0.32,0.15,0.37,0.456,0
anxymag,705,1737,108,3207,406,81,2.4638,2.2809,0.4,68,2.677,0.8347,8009,12.81,3.9944,123.905,20.2784,1.3884,0.12,0.15,0.74,0.626,1
gr3yr0n1n,2155,1744,119,914,281,32,0.8093,3.5248,0.3193,61,0.454,0.4967,176196,598.627,654.953,101.169,22.4403,1.5864,0.29,0.19,0.32,0.729,1
PubMeeple,1143,1754,157,1037,1483,39,1.5346,1.0052,0.1645,19,1.152,1.1109,1235,4.172,4.0231,112.231,29.0505,1.5843,0.33,0.07,0.54,0.316,0
GenkiGamingTv,563,1785,0,76,178,0,3.1705,1.1901,0.0568,5,0.624,8.2105,3425,7.171,94.3553,88.86,43.1978,1.48,0.05,0.04,0.38,0.051,0
Dan_NinjaStar,1378,1800,140,1191,1211,47,1.3062,1.0508,0.1096,18,1.462,1.2275,11403,13.138,11.0311,92.534,22.481,1.3506,0.15,0.27,0.32,0.354,0
mrdavidfilm,1049,1836,158,259,1272,19,1.7502,0.3518,0.2135,29,0.415,1.6023,138223,195.074,753.1815,113.15,25.847,1.5833,0.24,0.06,0.72,0.618,1
breaking_games,1195,1851,81,1594,1728,52,1.549,4.4812,0.5406,53,1.533,0.9617,29601,32.699,20.5138,125.518,38.4783,1.5,0.32,0.15,0.41,0.801,1
boredbyyou_zzz,149,1856,71,1126,1841,7,12.4564,19.1611,3.1745,359,1.608,1.4281,534627,1896.941,1684.6723,92.905,24.4505,1.1887,0.05,0.19,0.19,0.543,1
Caitlin_Akers,2884,1900,112,1305,1443,61,0.6588,1.1186,0.078,21,1.347,1.0322,144299,266.64,204.3218,99.395,24.1643,1.9737,0.38,0.24,0.39,0.409,0
C20thPosters,977,1914,111,2006,853,41,1.9591,1.3286,0.4166,289,5.077,2.5309,1876,14.731,7.3435,120.031,25.473,1.615,0.23,0.21,0.44,0.739,1
stevenaramini,1447,1927,144,1131,821,37,1.3317,2.2184,0.0428,79,3.727,3.2953,292,1.173,1.0371,90.159,40.5814,1.3158,0.02,0.09,0.24,0.177,0
WorldAnvil,290,1933,161,1467,446,20,6.6655,5.1897,1,40,2.702,1.8419,9183,23.486,16.0095,117.845,33.7268,1.9487,0.2,0.02,0.52,0.665,1
mendozasalado,2521,1935,69,160,366,19,0.7676,0.169,0.3122,6,0.147,0.9187,52687,572.676,3579.225,118.208,7.0659,1.8727,0.28,0.17,0.43,0.835,1
curiopuppeteer,296,1939,157,147,328,0,6.5507,0.4764,0.0405,5,0.142,0.966,117,0.406,2.7619,97.927,5.3449,1,0,0.08,0.21,0.036,0
OkleMiller,3346,1961,156,1159,1030,53,0.5861,0.2723,0.0484,12,0.716,0.6178,20285,25.651,22.132,96.203,35.5012,1.4839,0.47,0.14,0.27,0.255,0
BoardGames_TT,381,1969,53,32,12,4,5.168,0,0,4,0.251,7.8438,4,0.28,8.75,83.027,4.9526,1,1,0,1,0.251,0
aaronareed,1826,1971,154,1565,897,77,1.0794,1.1763,0.1769,215,3.573,2.2831,148950,183.37,117.1693,116.994,23.1368,1.177,0.3,0.07,0.37,0.582,1
bestplayco,806,1979,35,1970,352,21,2.4553,0.7866,0.1166,30,0.692,0.3513,326,2.007,1.0188,107.852,30.478,1.3077,0.05,0.28,0.81,0.266,0
rshipleyart,1224,1994,82,1257,1153,77,1.6291,0.7802,0.04,18,1.224,0.9737,6636,14.22,11.3126,121.431,5.1778,3.9411,0.8,0.14,0.92,0.238,0
