screen_name,life_long,Number_of_statues,Length_of_description,followers_count,friends_count,listed_number,Avg_tweets_per_day,Avg_favorite_per_day,Avg_retweets_per_day,Most_favorited,Avg_favorited_per_tweet,Avg_favorites_per_user,Most_retweeted,Avg_retweeted_per_tweet,Avg_retweets_per_user,Avg_length_of_tweets,sentiment_score,Avg_hashtags_per_tweet,tweets_with_hashtags,tweets_with_media,tweets_with_url,retweet_rate,influencial
_meghansmith_,2020,10805,14,500,241,1,5.349,7.7792,0.2733,30,1.464,2.928,644972,16241.627,32483.254,87.618,10.9044,1.4559,0.07,0.17,0.16,0.621,1
alaskangeles,596,924,0,2543,153,2,1.5503,15.2433,0.2383,1398,29.5533,10.6917,3636865,10479.6891,3791.315,77.5348,11.5461,1.4686,0.19,0.27,0.17,0.4848,0
asadayaz,3394,7347,126,2364,226,32,2.1647,2.4075,0.071,6637,32.255,13.6442,163661,801.798,339.1701,89.441,20.8117,2.5641,0.60,0.21,0.48,0.724,1
AskSweetCream,1467,724,29,138,178,3,0.4935,0.1404,0.0143,77,1.5746,8.2609,16445,48.8564,256.3188,86.6243,14.0006,1.3636,0.03,0.15,0.30,0.1575,0
astralruby,698,439,140,34,41,0,0.6289,0.1633,0.2564,69,1.4989,19.1765,107553,1663.8851,21287.9412,97.0713,21.9458,1.5197,0.29,0.59,0.18,0.6299,1
boredbyyou_zzz,149,1856,71,1123,1841,6,12.4564,19.1611,3.1745,359,1.608,1.4319,534627,1896.941,1689.1728,92.905,24.4505,1.1887,0.05,0.19,0.19,0.543,1
briankesinger,2515,4063,64,22766,282,466,1.6155,3.7865,0.0843,3787,115.337,5.0662,327217,1067.15,46.8747,104.345,26.7082,2.2645,0.52,0.43,0.34,0.813,1
CadeRageous,3299,30790,94,259021,131146,1362,9.3331,7.8545,0.0349,194,9.632,0.0372,245966,1710.016,6.6018,93.856,27.4447,1.2772,0.10,0.10,0.36,0.352,0
Caitlin_Akers,2884,1900,112,1304,1443,61,0.6588,1.1165,0.078,21,1.347,1.033,144299,266.64,204.4785,99.395,24.1643,1.9737,0.38,0.24,0.39,0.409,0
circusposterus,3328,6044,63,3641,562,106,1.8161,0.1457,0.098,54,1.892,0.5196,652,3.589,0.9857,121.826,16.9793,1.7986,0.14,0.27,0.71,0.731,1
CitrusInferno,1449,585,55,47,41,2,0.4037,0.6881,0.0138,15,1.0838,13.4894,16123,28.1573,350.4681,108.5949,19.5424,1.1111,0.14,0.07,0.28,0.1402,0
Collectingtoyz,2670,20097,160,723,869,102,7.527,7.8199,0.2064,10,0.155,0.2144,37805,3914.142,5413.751,116.793,38.1744,3.1055,0.60,0.28,0.46,0.6,1
commanderinmtg,1154,13345,156,4044,218,37,11.5641,19.8484,0.1023,331,3.637,0.8994,115205,197.18,48.7587,97.705,25.6935,1.2893,0.12,0.06,0.42,0.26,0
Crowd_Fund_Pro,1376,2212,134,32353,776,38,1.6076,1.2958,0.0,110,3.245,0.1003,58,1.54,0.0476,138.298,31.0885,1.6759,0.14,0.01,1.00,0.162,0
CrowdfundCentre,1864,195998,158,26610,17994,1208,105.1491,0.3535,0.0,5,0.215,0.0081,4,0.204,0.0077,116.236,12.648,1.9219,0.96,0.10,0.99,0.18,0
Cynrtst,2403,318,67,37,241,3,0.1323,0.422,0.0141,9,0.1356,1.1622,107780,1459.9054,12507.8378,86.0915,24.0333,1.3056,0.34,0.10,0.38,0.123,0
DangerFeedsRage,558,1704,113,1283,469,12,3.0538,0.0125,0.6989,33,0.997,0.7771,7024,12.049,9.3913,114.897,9.3045,1.427,0.27,0.16,0.40,0.512,1
datafaucet,3611,15479,55,5240,2016,172,4.2866,8.1113,0.0997,87,0.833,0.159,196631,1684.17,321.4065,122.906,25.6754,1.9939,0.16,0.10,0.60,0.463,0
DawltonBarn,3283,9682,65,3363,3157,183,2.9491,1.6424,0.1118,67,4.324,1.2858,50723,61.144,18.1814,113.574,37.2626,1.6256,0.40,0.05,0.51,0.641,1
Daymarebrand,171,44,61,37,131,0,0.2573,0.9649,0.0994,4,0.7955,0.9459,76575,2576.2727,3063.6757,91.6818,24.8668,3.2857,0.48,0.45,0.16,0.5,1
DeeplyDapper,1877,5956,124,714,776,71,3.1731,1.7986,0.1071,102,1.045,1.4636,197764,1748.427,2448.7773,106.008,16.6134,1.731,0.17,0.18,0.45,0.294,0
DiscordiaCS,1862,2028,131,806,1322,23,1.0892,0.2277,0.043,12,0.396,0.4913,23020,28.297,35.1079,104.069,6.6314,2.8598,0.48,0.10,0.96,0.201,0
DrewMcWeeny,3453,129867,138,48406,4083,1333,37.6099,3.3617,0.1135,812,14.959,0.309,514063,4130.832,85.3372,105.745,8.863,1.3438,0.03,0.11,0.37,0.586,1
dwayne_illo,2217,7790,93,1243,1161,65,3.5138,2.0456,0.0631,164,4.212,3.3886,379925,1443.163,1161.0322,112.929,13.1681,3.5857,0.21,0.12,0.54,0.362,0
dynastybeautyb,1495,12522,81,1643,1681,30,8.3759,2.493,0.6054,18,0.265,0.1613,13032,41.217,25.0864,125.931,12.5253,3.5164,0.64,0.03,0.66,0.994,1
