screen_name,life_long,Number_of_statues,Length_of_description,followers_count,friends_count,listed_number,Avg_tweets_per_day,Avg_favorite_per_day,Avg_retweets_per_day,Most_favorited,Avg_favorited_per_tweet,Avg_favorites_per_user,Most_retweeted,Avg_retweeted_per_tweet,Avg_retweets_per_user,Avg_length_of_tweets,sentiment_score,Avg_hashtags_per_tweet,tweets_with_hashtags,tweets_with_media,tweets_with_url,retweet_rate,influencial
_sattva,2760,1638,126,1663,1144,88,0.5935,0.6293,0.0732,14,1.158,0.6963,40701,44.188,26.5713,127.893,29.4887,1.9281,0.47,0.12,0.69,0.471,0
18dMedia,2426,425921,106,11404,4085,41,175.5651,0.0103,0.1369,1,0.005,0.0004,2,0.559,0.049,111.954,3.6418,1.6667,0.00,0.65,1.00,0.553,1
4Sevens,3924,694,160,2347,46,52,0.1769,0.0729,0.0107,12,0.6484,0.1917,4,0.3415,0.101,106.9669,26.2552,2.2393,0.23,0.13,0.48,0.2478,0
5toclose,3223,24444,154,11843,11411,1201,7.5842,1.3171,0.0006,6,0.319,0.0113,10,0.1095,0.0039,116.5095,26.429,2.274,0.17,0.00,0.99,0.0714,0
9Lamper,2330,13975,18,916,1046,0,5.9979,6.3073,0.2292,36,1.598,1.7445,195544,3530.776,3854.559,89.309,8.6073,1.4242,0.03,0.13,0.12,0.616,1
ABCDjamesbond,264,4362,35,143,2003,2,16.5227,0.8788,2.7652,2,0.053,0.3706,156878,1480.419,10352.5804,124.796,49.4367,2.2476,0.63,0.05,0.21,0.746,1
acurvyvegan,3215,75500,151,10107,1230,257,23.4837,13.8706,0.0218,100,1.998,0.1977,162597,509.35,50.3958,105.611,32.3325,1.5926,0.24,0.10,0.55,0.468,0
agustd_PD,428,9648,14,104,97,2,22.5421,27.9439,0.7313,279,0.741,7.125,493576,32699.533,314418.5865,77.687,11.9058,1.8844,0.15,0.36,0.24,0.348,0
AIRITOUTRADIO,2857,278182,99,7496,5538,265,97.3686,0.0133,0.0042,4,0.143,0.0191,3,0.137,0.0183,101.286,10.0629,1.3884,0.74,0.00,0.76,0.118,0
AkshayaaVJ,205,1859,140,6141,16,2,9.0683,20.9512,2.5024,1936,24.431,3.9783,1473,10.703,1.7429,91.457,43.5829,1.9821,0.34,0.23,0.06,0.87,1
Alex_Causey,2640,14689,0,395,218,3,5.564,0.758,0.1761,89,1.11,2.8101,3637792,14472.085,36638.1899,85.036,6.8554,1.3194,0.07,0.34,0.33,0.652,1
Am_Brdi,2623,23614,15,219,69,10,9.0027,0.4056,0.1365,7,0.089,0.4064,1080175,5588.704,25519.1963,74.07,-1.2037,1.1739,0.02,0.12,0.29,0.507,1
Androidheadline,3263,230440,94,570839,482,3827,70.6221,0.1722,0.106,77,6.03,0.0106,19,1.929,0.0034,117.488,8.5118,3.9205,0.15,0.85,1.00,0.816,1
AntikBar,2415,30959,141,14165,14184,230,12.8195,0.2273,0.005,19,1.117,0.0789,19,0.559,0.0395,138.005,55.6885,2.0901,0.35,0.02,0.99,0.285,0
AntonyDundas,2468,3110,159,2387,749,8,1.2601,0.3918,0.0101,87,3.902,1.6347,6428,16.858,7.0624,95.836,24.5119,1.4925,0.20,0.04,0.14,0.15,0
arclight,3772,156941,102,5528,2159,492,41.6068,0.324,0.1734,54,0.526,0.0952,139499,1138.931,206.0295,120.385,4.628,1.2895,0.08,0.06,0.37,0.717,1
ArtHarmony_shop,2091,84184,111,4886,4791,206,40.2602,4.8336,0.0861,25,0.796,0.1629,7354,15.907,3.2556,136.098,15.769,4.1875,0.11,0.03,0.92,0.474,0
artofrecords,1184,17,78,39,16,1,0.0144,0.0042,0.0,4,0.6471,0.2821,2,0.1765,0.0769,107.3529,42.4447,1.75,0.24,0.00,0.82,0.1176,0
attah_awulu,904,2470,0,239,317,3,2.7323,0.292,0.8971,17,0.162,0.6778,144950,662.114,2770.3515,133.017,0.8435,1.5072,0.07,0.03,0.20,0.852,1
BackerClub,1342,49154,160,8070,5503,1534,36.6274,26.0283,0.0917,6,0.337,0.0418,6,0.356,0.0441,116.19,27.4473,2.5191,0.18,0.01,0.98,0.257,0
BecomingSchultz,64,171,83,161,154,1,2.6719,0.4219,0.2188,20,0.4855,0.5217,27,0.7688,0.8261,109.6127,25.4775,4.0946,0.43,0.04,0.80,0.1503,0
bikeradar,3497,33265,134,142489,3372,3038,9.5124,0.5485,0.008,404,11.261,0.079,406,3.225,0.0226,107.27,15.8648,1.0556,0.04,0.51,0.97,0.734,1
