screen_name,life_long,Number_of_statues,Length_of_description,followers_count,friends_count,listed_number,Avg_tweets_per_day,Avg_favorite_per_day,Avg_retweets_per_day,Most_favorited,Avg_favorited_per_tweet,Avg_favorites_per_user,Most_retweeted,Avg_retweeted_per_tweet,Avg_retweets_per_user,Avg_length_of_tweets,sentiment_score,Avg_hashtags_per_tweet,tweets_with_hashtags,tweets_with_media,tweets_with_url,retweet_rate,influencial
MikaelSannholm,3160,5,0,660,5003,1,0.0016,0.0003,0.0003,2,0.8,0.0061,1,0.4,0.003,76.4,1.548,0,0,0,0.8,0.4,0
redgeniegames,257,6,126,22,35,0,0.0233,0.1362,0,6,3.4286,1.0909,2,0.7143,0.2273,135.2857,18.81,2.4,0.71,0,0.86,0.5714,1
valhallasheff,84,19,44,22,55,1,0.2262,0.2143,0,2,0.2632,0.2273,2,0.2632,0.2273,96.0526,18.4511,3.1667,0.32,0.11,0.74,0.1579,0
GogenSoft,49,29,117,137,767,1,0.5918,1.2857,0.1837,31,3.6552,0.7737,27,5.4828,1.1606,113.7931,17.2245,4.6,0.34,0.14,0.76,0.8276,1
HappinessIsKeyK,1048,31,0,4,13,0,0.0296,0.001,0.0258,8,0.5806,4.5,12921,628.9677,4874.5,113.6774,2.5439,1.8182,0.71,0.45,0,0.9355,1
Maionestro,2198,46,157,8,48,0,0.0209,0.1288,0.0009,7,1,5.75,344,9.7826,56.25,119.3478,17.7611,1.125,0.17,0.02,0.65,0.1739,0
danthediceguy,243,52,0,8,129,0,0.214,0.0041,0.0123,3,0.4038,2.625,168953,3249.5192,21121.875,100.4231,16.1548,3.4615,0.25,0.15,0.6,0.1346,0
danieladeangeli,2644,55,0,11,45,0,0.0208,0.0034,0.0132,4,0.1,0.5455,579,11.45,62.4545,109.7833,17.8482,1.1481,0.45,0.05,0.2,0.6333,1
games_overboard,108,80,111,29,21,1,0.7407,0.1481,0.0463,14,1.0375,2.8621,10,0.7375,2.0345,117.725,30.8025,1.8889,0.23,0,0.86,0.3,0
3DDZYN,181,87,157,16,47,0,0.4807,0.2376,0.1105,9,0.8966,4.875,37,0.8736,4.75,100.3793,18.3416,1.9677,0.36,0.15,0.44,0.2529,0
MartinLenkie,1981,89,85,22,57,0,0.0449,0.002,0.003,3,0.2069,0.8182,66,0.9195,3.6364,100.6897,26.4632,1.7273,0.38,0.03,0.45,0.1149,0
Lunar_GamesInc,356,93,156,81,112,2,0.2612,0.1067,0.0478,15,2.0645,2.3704,24,2.0108,2.3086,111.9462,24.1398,2.122,0.44,0.02,0.66,0.4946,0
zombielov3r,505,94,0,1,59,0,0.1861,0.0198,0.0178,2,0.0714,7,1453,27.2959,2675,107.1224,-17.3496,1,0.01,0.01,0.93,0.2449,0
LimmGhomizar,48,94,73,26,87,1,1.9583,1.7292,0.0208,7,1.9574,7.0769,2,0.1596,0.5769,111.7553,31.3757,1,0.33,0.05,0.64,0.1489,0
krissyandminnie,80,99,144,10,98,0,1.2375,0.075,0,6,0.3737,3.7,2,0.0505,0.5,125.3434,36.487,2.25,0.24,0.17,0.93,0.0404,0
SpecteeInc,39,101,96,20,0,1,2.5897,0.0256,0,114,2.7129,13.7,75,1.3762,6.95,138.3564,-15.757,0,0,0,0.98,0.1881,0
DragonTurtleG,555,112,139,125,115,5,0.2018,0.0342,0.045,14,1.4196,1.272,996,27.0089,24.2,112.0179,26.8011,2.0682,0.39,0.12,0.69,0.5268,1
dunsmoregames,105,113,62,67,209,1,1.0762,2.019,0.019,36,2.7257,4.597,7,0.6018,1.0149,112.1239,39.2022,1.3333,0.24,0.13,0.58,0.292,0
WildPowerGames,300,135,50,338,108,1,0.45,0.4833,0.07,15,2.9565,1.2071,179,2.2971,0.9379,110.4058,26.3893,1.5455,0.24,0.25,0.75,0.3913,0
dread_unicorn,880,167,45,152,283,4,0.1898,0.3125,0.0227,12,1.4671,1.6118,111,3.0838,3.3882,96.0479,11.2041,1.1842,0.23,0.51,0.85,0.521,1
dread_unicorn,880,167,45,152,283,4,0.1898,0.3125,0.0227,12,1.4671,1.6118,111,3.0838,3.3882,96.0479,11.2041,1.1842,0.23,0.51,0.85,0.521,1
mitzyandjimbo,132,178,158,220,219,0,1.3485,2.7348,0.2576,32,4.6011,3.7227,197,3.7135,3.0045,97.2472,28.2645,1.4,0.22,0.17,0.46,0.5056,1
Vegaskatus,1954,182,0,17,93,0,0.0931,0.1146,0.0338,2,0.0833,0.8824,3975,81.6833,864.8824,88.7556,24.7988,2.1667,0.1,0.09,0.29,0.3833,0
HexyStudio,1008,196,111,225,174,8,0.1944,0.2718,0.0665,6,0.8173,0.7156,70,2.4162,2.1156,117.736,31.8986,2.3455,0.28,0.1,0.65,0.4264,0
toonhammergames,119,210,117,224,200,5,1.7647,4.1933,0.7311,28,4.6524,4.3616,25,3.9429,3.6964,128.3476,32.0224,2.2195,0.59,0.17,0.44,0.8524,1
bennetbieck,3359,242,88,310,643,9,0.072,0.1667,0.0095,12,0.6736,0.5258,6635,59.0083,46.0645,107.4587,14.5112,5.0733,0.62,0.16,0.7,0.3884,0
BG_Heaven,994,243,0,50,45,1,0.2445,0.2414,0.0191,16,0.8025,3.9,441,4.6296,22.5,109.4156,22.7864,1.5306,0.2,0.12,0.79,0.2716,0
materialcom,189,247,157,307,450,1,1.3069,1.8201,0.2116,28,2.34,1.9055,10,1.24,1.0098,104.76,30.9667,1.3175,0.25,0.12,0.66,0.552,1
projectmobius,3450,271,55,189,97,10,0.0786,0.0893,0.0026,8,0.417,0.5979,9914,72.2325,103.5714,99.1181,8.2535,2.1375,0.3,0.23,0.44,0.1661,0
ksboardgames,835,310,157,770,746,18,0.3713,0.8611,0.1593,52,1.729,0.6961,110,3.3484,1.3481,121.3516,26.3965,1.6351,0.48,0.09,0.59,0.6419,1
Gamesplus8,259,315,160,122,43,1,1.2162,1.2394,0.1622,43,2.4698,6.377,82986,333.819,861.9098,100.3968,13.4711,2.4882,0.67,0.49,0.39,0.4095,0
Mojoman1289,1344,318,138,263,1116,4,0.2366,5.7173,0.0342,62,1.875,2.2814,60993,198.075,241.0038,86.2281,15.7873,3.901,0.32,0.43,0.32,0.4156,0
HaldaneCreation,1632,328,157,345,1386,7,0.201,0.1575,0.0086,27,0.436,0.4145,106,0.811,0.771,84.1921,8.2664,1.1875,0.05,0.05,0.91,0.0732,0
opengamingstore,826,358,104,2022,3472,5,0.4334,0.2409,0.0823,27,1.3795,0.2463,5646,25.1274,4.4862,109.5596,16.7924,1.5946,0.1,0.06,0.81,0.3463,0
WitchBorn,718,365,85,49,41,4,0.5084,4.8914,0.0529,6,1.4247,10.6122,27848,195.9397,1459.551,95.8219,15.0665,1.3889,0.49,0.37,0.54,0.1534,0
ClapBackGame,801,368,157,432,1317,5,0.4594,0.4444,0.0262,16,1.5445,1.3264,19085,88.4636,75.9722,109.4609,19.7446,5.4322,0.54,0.43,0.44,0.3504,0
koolaid5922,645,374,108,49,148,0,0.5798,0.1132,0.0713,3,0.2246,1.7143,11113,102.9572,785.8367,103.3102,27.4016,2.6395,0.39,0.07,0.65,0.2326,0
FrogpantsDeals,2296,375,109,399,11,14,0.1633,0.0009,0.0366,51,1.5576,1.4561,90,2.8284,2.6441,118.5576,27.1969,1,0.05,0.03,0.69,0.6917,1
__Suwan__W__,388,384,0,3,131,0,0.9897,0,0.2809,3,0.25,32,1175,74.6615,9556.6667,118.5443,51.7987,2.6266,0.63,0.04,0.88,0.3073,0
