screen_name,life_long,Number_of_statues,Length_of_description,followers_count,friends_count,listed_number,Avg_tweets_per_day,Avg_favorite_per_day,Avg_retweets_per_day,Most_favorited,Avg_favorited_per_tweet,Avg_favorites_per_user,Most_retweeted,Avg_retweeted_per_tweet,Avg_retweets_per_user,Avg_length_of_tweets,sentiment_score,Avg_hashtags_per_tweet,tweets_with_hashtags,tweets_with_media,tweets_with_url,retweet_rate,influencial
_WickedHeart,2359,87916,83,3164,2126,8,37.2683,3.7418,0.1013,85,0.651,0.2058,254713,2392.817,756.2633,58.932,3.5634,1.2,0.03,0.06,0.22,0.41,0
18SportsAndy,2543,23391,157,2130,980,24,9.1982,2.639,0.1117,90,5.716,2.6836,32822,127.303,59.7667,119.684,27.5356,1.34,0.10,0.12,0.66,0.788,1
3Js3KimsYoongi,318,7212,20,336,490,3,22.6792,20.8899,2.6352,7,0.038,0.1131,559988,17788.699,52942.5565,103.655,15.8943,1.2946,0.53,0.37,0.10,0.868,1
A1GOY,3408,50941,152,12198,1112,216,14.9475,0.0625,0.0437,303,5.384,0.4414,182534,730.023,59.8478,86.094,9.3548,1.2,0.03,0.13,0.26,0.268,0
abcxyz_jp,3253,9236,159,984,829,25,2.8392,5.1682,0.0323,25,1.41,1.4329,30209,99.811,101.4339,115.433,3.1175,5.3481,0.66,0.11,0.85,0.276,0
AECoker,2401,2140,159,1216,1536,50,0.8913,0.5856,0.2645,64,1.373,1.1291,27165,120.29,98.9227,115.896,17.4234,1.453,0.23,0.14,0.29,0.703,1
AgileFaye,3967,4439,93,2221,1682,112,1.119,1.1797,0.127,58,0.713,0.321,65113,156.948,70.6655,110.925,26.0091,1.4326,0.28,0.09,0.28,0.575,1
ahrcletterpress,341,126,74,296,379,4,0.3695,0.0,0.1026,33,2.5159,1.0709,37,3.7143,1.5811,122.881,17.5909,1.0164,0.48,0.06,0.36,0.8571,1
alisongilbert,3233,1235,118,404,189,19,0.382,0.7795,0.0594,21,0.568,1.4059,26196,167.5,414.604,85.938,24.3256,1.1281,0.20,0.04,0.35,0.267,0
amandamakepeace,3654,34464,154,1997,770,219,9.4319,4.2411,0.072,39,2.169,1.0861,378922,571.436,286.1472,101.682,32.9622,1.7988,0.17,0.14,0.38,0.398,0
amandarivkin,2804,86459,124,4320,4019,217,30.8342,5.2942,0.0685,237,0.796,0.1843,34802,238.723,55.26,116.046,-8.244,1.0,0.02,0.03,0.74,0.347,0
andevers,3391,73817,160,12678,7440,478,21.7685,18.7744,0.0714,369,4.3,0.3392,142342,404.888,31.9363,97.265,19.8487,1.1333,0.03,0.07,0.41,0.368,0
Andi_Roberts,3341,8629,156,5953,6145,229,2.5828,0.9527,0.0658,100,1.409,0.2367,38404,108.292,18.1912,115.652,27.2074,1.5721,0.22,0.05,0.53,0.385,0
andyr20,2683,380,160,318,666,6,0.1416,0.3589,0.0712,14,1.0447,1.2484,234190,930.8737,1112.3648,116.4789,38.0944,1.5896,0.56,0.19,0.39,0.6237,1
AndyXJenkins,614,307,52,872,3023,3,0.5,0.6694,0.1971,39,1.2222,0.4289,126286,831.6111,291.8268,112.9542,13.4883,1.8214,0.37,0.05,0.44,0.6275,1
AnnabelleNAiden,181,176,160,117,827,0,0.9724,0.6354,0.1768,8,0.6514,0.9744,19516,221.3714,331.1111,113.2743,25.9245,2.2727,0.38,0.17,0.61,0.3371,0
AnotherIdolBot,1173,73873,18,6716,735,97,62.9778,2.341,0.0264,69,7.467,1.1118,7921,62.207,9.2625,135.063,-2.6152,1.5,0.01,0.04,0.97,0.733,1
anxymag,705,1737,108,3206,406,81,2.4638,2.2809,0.4,68,2.677,0.835,8009,12.81,3.9956,123.905,20.2784,1.3884,0.12,0.15,0.74,0.626,1
artbyRena,1748,949,156,268,455,11,0.5429,1.238,0.0492,138,1.2025,4.2537,8350,21.7711,77.0112,105.7975,31.0788,2.9367,0.33,0.29,0.32,0.1646,0
atassani,3027,2642,49,791,546,54,0.8728,0.3231,0.1077,35,1.71,2.1618,124099,387.875,490.3603,100.182,22.7105,1.3192,0.35,0.21,0.33,0.548,1
AtriusEndures,1167,2016,110,908,1084,40,1.7275,3.2871,0.4627,73,2.157,2.3756,87599,105.763,116.4791,118.83,30.581,2.1725,0.43,0.14,0.25,0.732,1
B_Crilly,1945,2891,151,696,640,51,1.4864,2.2,0.1116,177,3.04,4.3678,126286,466.724,670.5805,123.072,26.1879,1.3763,0.28,0.04,0.55,0.425,0
Bayo1000,2544,972,142,1021,710,0,0.3821,0.0421,0.0566,104,0.8469,0.8022,1701728,2899.0228,2745.6954,94.849,4.8062,1.7202,0.20,0.20,0.52,0.2958,0
bjmgraphics,2202,17632,159,149,22,6,8.0073,2.846,0.1948,15,0.193,1.2953,65299,3164.773,21240.0872,122.173,3.157,1.6667,0.09,0.06,0.41,0.465,0
BoingBoing,4042,221649,34,235674,2167,13169,54.8365,3.5589,0.0576,1508,10.195,0.0433,66381,240.827,1.0219,118.036,3.017,1.0484,0.06,0.48,0.89,0.864,1
Booktrust,3415,38815,60,65192,3266,1249,11.366,7.5517,0.063,364,8.063,0.1237,290,6.03,0.0925,115.79,47.4408,1.184,0.33,0.01,0.62,0.673,1
Brandon_Nocaute,1098,75927,101,2888,861,81,69.1503,53.8588,0.1621,259,2.63,0.9107,110482,642.351,222.4207,88.879,12.4313,1.1026,0.16,0.08,0.30,0.307,0
BruceLevenstein,3531,94542,44,1517,1018,101,26.7749,0.1167,0.0314,52,2.11,1.3909,32901,56.367,37.1569,83.656,10.5616,1.2812,0.03,0.17,0.32,0.223,0
C2CMovie,2627,444,46,144,231,6,0.169,0.0339,0.0449,10,0.2325,0.7153,2554,12.6343,38.8681,102.1422,35.5418,2.4576,0.13,0.10,0.70,0.4447,0
calmgrove,1835,7244,94,257,171,30,3.9477,6.3357,0.1128,26,0.677,2.6342,159588,1291.119,5023.8093,99.685,7.3217,2.9632,0.46,0.12,0.59,0.334,0
ceciliatan,3968,77774,118,5387,999,414,19.6003,2.256,0.1205,8547,9.796,1.8185,115781,1245.053,231.1218,110.937,14.5498,1.1667,0.13,0.07,0.31,0.577,1
centrodarte,3141,1189,145,443,218,14,0.3785,0.1385,0.0611,58,1.013,2.2867,6917,10.993,24.8149,115.244,4.8311,1.8185,0.62,0.29,0.70,0.503,1
cEvinKey,3284,2487,0,10276,68,195,0.7573,0.0597,0.0006,266,12.789,1.2446,78,2.711,0.2638,81.25,19.0449,2.1429,0.02,0.00,0.88,0.673,1
chadhayesmd,1338,7353,158,4505,827,113,5.4955,5.5725,0.0433,984,11.657,2.5876,35326,37.789,8.3882,102.025,10.1084,1.1538,0.01,0.06,0.40,0.246,0
chellenator,3918,51139,158,402,142,30,13.0523,3.9962,0.0947,146,1.722,4.2836,418355,3287.549,8177.9826,113.441,11.6709,1.6341,0.04,0.09,0.42,0.447,0
chinnky,3276,12823,103,2502,2249,15,3.9142,0.8852,0.0702,20,0.288,0.1151,216822,1832.083,732.2474,85.81,18.7817,1.4203,0.07,0.06,0.35,0.327,0
Chisuto,3424,5844,150,331,335,26,1.7068,2.0073,0.2085,12,0.36,1.0876,501248,11931.494,36046.8097,114.091,23.7678,1.3149,0.18,0.14,0.19,0.736,1
ClaressaSwensen,830,34,0,42,134,3,0.041,0.147,0.0217,4,0.3235,0.2619,3,0.8235,0.6667,115.7059,21.2479,1.5,0.29,0.18,0.53,0.6176,1
ClayBoutwell,3241,6074,138,25225,20587,188,1.8741,0.2734,0.0003,9,0.38,0.0151,6,0.141,0.0056,75.838,27.8175,1.6022,0.19,0.10,0.39,0.104,0
CloakedPress,471,2159,152,416,375,19,4.5839,0.7346,0.4904,8,0.616,1.4808,154605,200.386,481.6971,104.054,18.3999,2.7946,0.41,0.06,0.73,0.448,0
CloudBusiness9,2182,25706,143,5973,791,539,11.7809,14.0509,0.209,22,1.055,0.1766,75683,129.911,21.7497,116.645,40.6559,1.5268,0.35,0.15,0.39,0.589,1
common_clarity,2148,274,125,377,294,39,0.1276,0.2719,0.0512,133,2.8974,2.0981,20868,145.9451,105.6844,113.1722,26.6269,2.0862,0.64,0.20,0.56,0.6007,1
crowdfundingpr_,1835,7016,100,14163,15442,264,3.8234,4.7837,0.0,5,0.333,0.0235,4,0.086,0.0061,84.22,14.038,1.5286,0.07,0.08,1.00,0.069,0
cw1985,3380,144027,141,14114,7291,714,42.6115,0.0027,0.0459,8,0.426,0.0302,1022,14.094,0.9986,124.519,19.4599,2.3849,0.52,0.15,0.88,0.458,0
