screen_name,life_long,Number_of_statues,Length_of_description,followers_count,friends_count,listed_number,Avg_tweets_per_day,Avg_favorite_per_day,Avg_retweets_per_day,Most_favorited,Avg_favorited_per_tweet,Avg_favorites_per_user,Most_retweeted,Avg_retweeted_per_tweet,Avg_retweets_per_user,Avg_length_of_tweets,sentiment_score,Avg_hashtags_per_tweet,tweets_with_hashtags,tweets_with_media,tweets_with_url,retweet_rate,influencial
rideupgrades,1161,708,61,161,725,3,0.6098,5.5185,0.2627,21,0.4235,1.8571,5864,66.4164,291.2422,108.534,16.1123,1.3613,0.22,0.14,0.56,0.4915,0
HiqHome,513,79,129,12,124,0,0.154,0.0663,0.0351,1,0.0253,0.1667,26,0.9494,6.25,103.5696,15.4247,2.8889,0.23,0.19,0.87,0.2785,0
Alizetibikes,458,174,28,60,356,2,0.3799,0.4192,0.0852,6,0.6897,2.0,679,10.9023,31.6167,114.8793,26.5863,2.1875,0.64,0.06,0.82,0.4885,0
mikeshouts,3233,14202,33,1410,1739,142,4.3928,0.3375,0.0025,8,0.251,0.178,29344,43.744,31.0241,112.74,10.6203,2.2993,0.59,0.41,0.98,0.072,0
TheNextWeb,3826,154414,70,1850235,217,33186,40.3591,1.3693,0.0141,155,8.313,0.0045,78,6.688,0.0036,92.727,7.0033,1.013,0.15,0.04,0.93,0.964,1
rocksetta,1944,1454,160,1977,3309,186,0.7479,0.2762,0.1132,17,0.809,0.4092,195600,212.527,107.4997,121.506,21.767,2.5474,0.64,0.15,0.72,0.427,0
kmnei,2016,348,69,11402,3167,161,0.1726,11.186,0.0198,84,5.3448,0.1631,286,6.7126,0.2049,114.273,23.5119,1.6667,0.37,0.36,0.71,0.6034,1
HacksterPro,1805,2622,158,18308,3599,470,1.4526,1.7873,0.0809,200,21.607,1.1802,1752,14.128,0.7717,121.166,11.8507,1.1633,0.05,0.69,0.92,0.955,1
jamiekinney,3414,2165,144,529,293,45,0.6342,0.6254,0.1526,190,1.498,2.8318,1702519,5370.138,10151.4896,112.393,26.5113,1.481,0.24,0.16,0.37,0.641,1
DrTCabot,1733,2837,110,6767,189,18,1.637,0.9181,0.0104,232,15.591,2.304,162,4.329,0.6397,101.165,37.8597,1.0556,0.02,0.37,0.55,0.781,1
dry_cabot,427,793,64,140,0,1,1.8571,6.5035,0.4122,55,1.2197,6.6214,155002,560.1092,3040.5929,72.6408,-1.3035,1.3529,0.04,0.30,0.14,0.2566,0
Golf_CB,2495,1116,110,1344,345,22,0.4473,0.5383,0.0994,118,3.673,2.7329,51,2.782,2.0699,112.032,29.8219,1.3498,0.30,0.27,0.52,0.675,1
AudiFreehold,1257,1103,0,787,1672,4,0.8775,0.0708,0.0111,13,0.335,0.4257,179,0.505,0.6417,112.855,24.2991,1.3874,0.59,0.71,0.85,0.105,0
CARmagazine,3658,19995,158,177641,437,1730,5.4661,0.7302,0.0224,159,11.762,0.0662,88,3.997,0.0225,107.186,17.0226,1.1348,0.53,0.49,0.77,0.816,1
Domotique34,2095,31521,127,4425,3197,212,15.0458,0.106,0.0,5,0.121,0.0273,2,0.103,0.0233,94.15,4.464,1.1818,0.03,0.36,1.00,0.095,0
ElectronicsLab,3897,7624,80,3268,1044,94,1.9564,0.0157,0.0049,16,1.157,0.354,127,0.837,0.2561,99.113,5.2004,2.1053,0.02,0.88,0.98,0.34,0
Hapy_One,2638,1365,152,460,589,43,0.5174,0.0845,0.119,15,0.168,0.3652,71265,105.596,229.5565,90.735,14.4141,2.0,0.29,0.12,0.34,0.317,0
pedrilli,3798,26435,95,2396,2667,56,6.9602,0.0034,0.0,16,0.052,0.0217,10,0.114,0.0476,98.345,6.8124,1.6667,0.00,0.00,1.00,0.103,0
richardjwaters,3357,28586,154,763,2015,282,8.5153,0.4123,0.0337,107,0.52,0.6815,177730,461.362,604.6684,112.288,5.8778,3.4346,0.41,0.26,0.66,0.178,0
Kickstartech,1429,29809,85,170,3,36,20.86,0.0,0.0,3,0.033,0.1941,2,0.01,0.0588,64.683,9.8871,1.0,0.00,0.00,1.00,0.009,0
BargainsCycling,1392,6511,159,15698,13902,194,4.6774,6.1681,0.0891,32,1.737,0.1107,15,0.567,0.0361,125.529,13.4481,1.0665,0.78,0.09,0.88,0.375,0
K_Kuota,3264,334535,104,2190,933,114,102.4923,0.2359,0.0263,104,0.529,0.2416,240039,929.667,424.5055,35.724,0.2576,2.0741,0.03,0.13,0.07,0.115,0
stagescycling,2132,4063,146,7517,517,136,1.9057,1.5103,0.0919,25,2.539,0.3378,873,11.683,1.5542,104.109,21.9881,1.4145,0.34,0.24,0.75,0.521,1
powermeterIQ2,128,33,0,1490,146,5,0.2578,0.0859,0.0078,280,15.8788,0.3517,36,2.2727,0.0503,136.4848,31.3318,1.2308,0.39,0.06,0.97,0.4545,0
diktionarychris,71,69,159,181,307,0,0.9718,0.6901,0.0,5,1.058,0.4033,1,0.1014,0.0387,126.8986,39.5178,1.5854,0.59,0.10,0.84,0.1014,0
DTongSports,3189,95006,160,50648,16003,2823,29.7918,19.9774,0.1609,36,2.061,0.0407,185134,442.467,8.7361,127.536,15.2399,3.2288,0.69,0.04,0.62,0.757,1
ProductHunt,1647,104885,114,344958,28,5262,63.6825,44.9879,0.1245,3700,35.328,0.1024,71142,102.849,0.2981,101.033,22.0466,1.0417,0.05,0.51,0.74,0.822,1
UnmannedInsight,1452,1408,114,468,978,26,0.9697,0.3898,0.27,6,0.182,0.3889,3915,26.916,57.5128,104.505,9.9213,1.8598,0.26,0.17,0.87,0.448,0
thesuperspecs,8,12,160,0,4,0,1.5,0.125,0.0,0,0.0,0,1,0.0833,0,84.1667,33.1933,1.0,0.17,0.58,0.33,0.0833,0
AllArduino,1442,54263,31,2438,50,124,37.6304,0.0,0.0,4,0.257,0.1054,2,0.07,0.0287,86.37,6.5293,1.0,1.00,0.00,1.00,0.065,0
MicrochipMakes,2950,25317,160,58527,16974,1410,8.582,8.0122,0.0644,137,12.183,0.2082,182,6.43,0.1099,118.655,10.9239,1.6491,0.06,0.72,0.86,0.923,1
GadgetsLiving,294,4019,136,853,5003,3,13.6701,82.983,0.5952,5,0.165,0.1934,625,4.801,5.6284,107.005,11.4953,1.3023,0.53,0.02,0.95,0.266,0
HealthyWrld,2028,181784,79,23215,5889,158,89.6371,0.1691,0.0118,6,0.152,0.0065,49,0.677,0.0292,105.739,7.5255,1.0376,0.13,0.59,1.00,0.071,0
Fret_Zealot,584,867,78,1173,1242,37,1.4846,27.1267,0.3493,59,0.971,0.7136,457,4.0568,2.9812,121.1369,27.8497,1.9628,0.40,0.06,0.77,0.4513,0
MusicTalks_xyz,1134,19693,156,19351,14567,294,17.366,17.4312,0.1041,56,4.237,0.219,2898,5.741,0.2967,116.727,21.8232,1.6972,0.33,0.18,0.68,0.596,1
BBStartups,1532,9373,143,645,912,58,6.1181,0.0007,0.0,3,0.097,0.1504,3,0.026,0.0403,111.578,-9.0152,1.295,0.14,0.00,1.00,0.023,0
MosaicIoT,1580,132,33,286,63,8,0.0835,0.0222,0.0576,3,0.1212,0.0559,297,12.3258,5.6888,115.9015,29.1927,1.2373,0.45,0.21,0.60,0.7955,1
Crowdfindly,1054,6269,129,4730,5236,46,5.9478,4.648,0.0019,5,0.259,0.0548,3,0.081,0.0171,109.051,43.9132,2.0416,0.36,0.19,0.99,0.069,0
crowdfindly2,1056,9425,91,4988,5435,76,8.9252,6.4394,0.0,12,0.166,0.0333,3,0.044,0.0088,104.586,46.1735,1.7656,0.27,0.17,1.00,0.037,0
HashtagRadioNZ,2166,9688,107,2539,1615,69,4.4728,0.5706,0.1048,102,1.071,0.4218,62345,95.242,37.5116,96.998,15.8474,1.7573,0.52,0.21,0.61,0.602,1
rajupp,3520,110193,157,24073,1498,723,31.3048,1.0932,0.044,80,3.887,0.1615,201585,658.351,27.3481,87.501,11.4803,1.2544,0.11,0.08,0.35,0.437,0
rstarsick,1193,4280,152,580767,1813,20,3.5876,0.7225,0.0025,4,0.09,0.0002,48,0.094,0.0002,75.343,5.2954,2.4561,0.06,0.10,0.87,0.032,0
techpp,3044,4639,95,1550,8,30,1.524,0.0263,0.022,98,4.07,2.6258,172,3.0,1.9355,123.396,15.3143,2.4688,0.06,0.61,0.92,0.761,1
rgesthuizen,3775,28139,136,3907,2787,316,7.454,1.8109,0.0797,14,0.63,0.1612,1702507,2659.96,680.819,111.815,23.4964,1.3346,0.26,0.17,0.46,0.377,0
AustinPSports,910,2893,160,371,497,7,3.1791,1.4165,0.3286,275,0.813,2.1914,239148,464.483,1251.9757,96.12,12.3984,1.2653,0.05,0.10,0.33,0.406,0
MHSDolphins2018,842,3965,94,987,949,2,4.709,0.0475,0.0523,71,3.916,3.9676,81,1.438,1.4569,88.599,6.0198,1.2,0.01,0.03,0.43,0.298,0
JustKlikkit,103,151,134,216,855,2,1.466,1.9709,0.1165,7,1.0464,0.7315,6,0.7881,0.5509,121.7417,45.4719,1.5862,0.58,0.16,0.70,0.4106,0
idfgforum,2625,17088,107,24256,85,124,6.5097,0.0015,0.0019,40,0.798,0.0329,930,1.429,0.0589,111.545,11.5511,1.0,0.00,0.95,0.99,0.242,0
photorumors,3315,10125,35,22536,43,847,3.0543,0.2401,0.0751,201,5.804,0.2575,207,6.85,0.304,112.671,3.3695,1.5182,0.60,0.71,0.93,0.845,1
GeorgePoulian,80,19,100,31,50,0,0.2375,0.8875,0.0,28,3.8947,2.3871,1,0.0526,0.0323,92.2105,16.8379,1.0,0.11,0.11,0.42,0.0526,0
jamesburk,3735,336,101,305,605,23,0.09,0.0203,0.0169,19,0.6149,0.6754,33977,121.7194,133.6918,115.009,12.3112,2.0863,0.41,0.02,0.79,0.606,1
martiansoil,3652,15891,99,5492,1328,356,4.3513,2.057,0.0435,57,3.41,0.6209,14803,33.291,6.0617,111.279,15.8109,1.5258,0.10,0.12,0.84,0.748,1
TheMarsSociety,3548,12043,116,17570,537,629,3.3943,0.2306,0.102,127,6.607,0.376,154690,231.288,13.1638,111.857,11.2799,1.7206,0.25,0.12,0.81,0.959,1
LangueDeGeek,677,6209,157,4299,4902,40,9.1713,2.6588,0.452,91,1.822,0.4238,35722,65.314,15.1928,113.827,7.7838,2.2416,0.45,0.16,0.66,0.627,1
GeekMomBlog,2894,41411,24,15666,485,594,14.3093,0.444,0.0083,11,0.51,0.0326,23595,29.455,1.8802,85.967,5.2433,1.5128,0.04,0.00,0.98,0.13,0
Robotschampion,899,1185,63,117,41,54,1.3181,0.0022,0.0011,6,0.348,2.9744,8,0.236,2.0171,107.275,12.5826,2.0511,0.94,0.23,0.89,0.175,0
SueForMayor,1235,20750,0,166,247,60,16.8016,0.3206,0.0,20,0.528,3.1807,24,0.567,3.4157,80.729,-1.5201,3.6688,0.15,0.00,1.00,0.431,0
Chris177uk,3026,7927,146,845,507,5,2.6196,6.4567,0.0912,149,3.154,3.7325,88979,160.278,189.6781,95.005,29.6016,1.4145,0.23,0.28,0.28,0.389,0
rrounsley,3266,3130,71,124,557,3,0.9584,0.8806,0.1111,799,1.916,15.4516,1702510,10607.048,85540.7097,96.271,2.8145,1.2086,0.14,0.13,0.23,0.406,0
ariela_paul,1887,75794,156,12200,8356,165,40.1664,34.3614,0.469,49,0.581,0.0476,39041,896.628,73.4941,127.012,7.4056,1.7581,0.19,0.12,0.24,0.972,1
designmilk,3603,75436,101,2328938,1349,17911,20.937,0.7891,0.0089,269,41.831,0.018,89,10.773,0.0046,116.448,15.591,1.0167,0.42,0.74,0.97,0.937,1
HFGEnthusiast,1004,3571,0,3422,3350,97,3.5568,0.002,0.4871,19,0.729,0.213,15,5.221,1.5257,131.967,16.4647,2.1323,1.00,0.44,0.86,0.995,1
leansmarthome,331,3344,101,1479,1937,31,10.1027,3.4804,0.0272,8,0.24,0.1623,7,0.338,0.2285,87.87,23.9471,1.3333,0.01,0.00,0.99,0.272,0
NewsWatchTV,3229,8014,113,30499,1278,312,2.4819,0.66,0.0009,614,3.0,0.0984,412,1.534,0.0503,124.92,30.1492,1.271,0.11,0.29,0.83,0.383,0
DHermanStudio,2030,22735,154,578,562,58,11.1995,3.1217,0.3601,71,0.766,1.3253,170185,2183.651,3777.9429,131.272,11.0583,1.3821,0.21,0.04,0.33,0.804,1
RAHistorical,1541,354,147,98,138,2,0.2297,0.0201,0.0045,7,0.1667,0.602,322,1.5311,5.5306,95.9294,14.6514,1.15,0.06,0.02,0.95,0.1017,0
cleebration,4038,98739,148,7171,4352,706,24.4525,0.7964,0.0114,75,3.295,0.4595,124,0.933,0.1301,119.308,25.5844,1.4084,0.33,0.01,0.87,0.134,0
18dMedia,2421,420994,106,11399,4086,42,173.8926,0.0103,0.1941,1,0.008,0.0007,2,0.815,0.0715,115.103,2.7834,1.0,0.01,0.70,0.99,0.807,1
TomChapell,2456,8887,156,2329,4096,429,3.6185,1.8001,0.2903,41,1.466,0.6295,609,16.401,7.0421,134.682,27.5504,2.0176,0.57,0.04,0.50,0.891,1
AD360eu,883,11617,155,16202,16390,616,13.1563,2.0249,0.1518,8,0.665,0.041,571,1.716,0.1059,91.406,13.4672,2.0483,0.60,0.26,0.93,0.324,0
PhilpottDon,1261,24936,158,31339,30341,1412,19.7748,4.0539,0.2133,19,0.51,0.0163,3896,7.731,0.2467,109.8,18.5636,1.6888,0.66,0.09,0.83,0.563,1
DALwrites,3065,4404,131,549,400,259,1.4369,0.0356,0.0007,9,0.287,0.5228,5,0.093,0.1694,131.719,22.6585,2.7346,0.93,0.25,1.00,0.077,0
MedGizmo,1071,26484,132,2913,3024,1768,24.7283,0.098,0.0,47,0.471,0.1617,33,1.537,0.5276,135.095,7.6922,5.7675,1.00,0.07,1.00,0.683,1
tedvickey,3452,25911,156,4279,4578,311,7.5061,0.5687,0.0377,11,0.399,0.0932,38138,46.597,10.8897,109.298,9.5846,1.2754,0.07,0.31,0.68,0.19,0
GadgetFlow,2059,48044,160,121380,4064,1246,23.3337,3.9932,0.0957,32,1.151,0.0095,1753,12.794,0.1054,129.57,25.1746,1.196,0.56,0.12,0.84,0.936,1
chillsunfire,1389,682,86,135,270,0,0.491,3.2016,0.0778,27,0.6103,3.0741,200904,740.1603,3728.2148,108.4221,24.5114,1.7731,0.35,0.05,0.51,0.2206,0
gr3yr0n1n,2147,1730,119,901,279,32,0.8058,3.4751,0.3195,60,0.457,0.5072,176264,598.222,663.9534,101.159,22.2571,1.5931,0.29,0.19,0.32,0.727,1
trendhunter,3931,119367,153,258182,3640,7699,30.3656,1.1799,0.0005,13,0.855,0.0033,18,0.464,0.0018,95.208,8.104,1.0293,0.92,0.90,0.98,0.336,0
DB_Stokes,3224,63717,71,4456,4065,145,19.7633,1.9529,0.1911,23,0.487,0.1093,3180,7.063,1.5851,135.731,25.9982,2.2598,0.79,0.25,0.62,0.809,1
startdet,151,308,122,47,93,1,2.0397,0.0066,0.0,8,0.4351,2.8511,4,0.2143,1.4043,124.7695,27.7809,2.566,0.17,0.00,1.00,0.1558,0
solinius,370,56,55,67,124,1,0.1514,0.4486,0.0892,39,1.1964,1.0,35553,756.7679,632.5224,109.0536,20.4787,1.6429,0.25,0.16,0.36,0.7321,1
virgilvox,3171,11663,125,1669,1483,161,3.678,2.7588,0.0363,75,1.144,0.6854,176264,219.69,131.6297,81.729,14.5422,1.3839,0.11,0.05,0.58,0.178,0
carlatreloar,3007,3522,82,772,103,19,1.1713,0.1044,0.2178,47,1.698,2.1995,2549,10.927,14.1541,127.454,20.961,1.3301,0.31,0.11,0.29,0.868,1
Mumbrellanews,1159,11821,142,8908,1550,187,10.1993,0.2312,0.0406,86,0.864,0.097,18,0.764,0.0858,116.332,9.1219,1.1509,0.05,0.77,0.94,0.406,0
