screen_name,life_long,Number_of_statues,Length_of_description,followers_count,friends_count,listed_number,Avg_tweets_per_day,Avg_favorite_per_day,Avg_retweets_per_day,Most_favorited,Avg_favorited_per_tweet,Avg_favorites_per_user,Most_retweeted,Avg_retweeted_per_tweet,Avg_retweets_per_user,Avg_length_of_tweets,sentiment_score,Avg_hashtags_per_tweet,tweets_with_hashtags,tweets_with_media,tweets_with_url,retweet_rate,influencial
thesuperspecs,12,12,160,0,4,0,1,0.0833,0,0,0,0,1,0.0833,0,84.1667,33.1933,1,0.17,0.58,0.33,0.0833,0
Washwow1,433,15,108,37,184,2,0.0346,0.0208,0,6,1.6667,0.6757,2,0.2,0.0811,132.4,26.1787,1,0.07,0,1,0.1333,0
GeorgePoulian,84,20,100,31,52,0,0.2381,0.869,0,28,3.8947,2.3871,1,0.0526,0.0323,92.2105,16.8379,1,0.11,0.11,0.42,0.0526,0
xDroidWorld,408,24,101,39,216,2,0.0588,0.049,0.0123,2,0.375,0.2308,3,0.7917,0.4872,86.2917,13.6546,2.6,0.21,0.08,0.83,0.5417,1
powermeterIQ2,132,33,0,1494,146,5,0.25,0.0833,0.0076,278,15.9091,0.3514,36,2.2727,0.0502,136.4848,31.3318,1.2308,0.39,0.06,0.97,0.4545,0
Acoustic_Camera,990,51,160,111,339,2,0.0515,0.0374,0.0091,6,1.0392,0.4775,60,2.7255,1.2523,123.7647,24.55,1.8125,0.63,0.18,0.8,0.6471,1
solinius,374,60,79,67,124,1,0.1604,0.4519,0.0936,38,1.1167,1,35534,706.2167,632.4328,111.1167,20.2432,1.6429,0.23,0.15,0.37,0.7333,1
diktionarychris,75,69,159,170,307,0,0.92,0.6533,0,5,1.058,0.4294,1,0.1014,0.0412,126.8986,39.5178,1.5854,0.59,0.1,0.84,0.1014,0
HiqHome,517,95,129,10,125,0,0.1838,0.0696,0.0368,2,0.0526,0.5,26,0.8,7.6,107.8,11.9042,2.8889,0.19,0.16,0.84,0.2421,0
desototrack,653,119,62,44,44,0,0.1822,0.2404,0.049,32,3.8655,10.4545,1042,25.9664,70.2273,103.7983,38.299,1.2917,0.2,0.29,0.36,0.5882,1
gadgetfeedco,680,119,27,164325,7495,13,0.175,17.6485,0,21,3.7731,0.0027,12,1.6639,0.0012,114.395,27.8886,3.1765,0.29,0.41,0.61,0.4706,0
MosaicIoT,1584,132,33,286,63,8,0.0833,0.0221,0.0574,3,0.1212,0.0559,297,12.3258,5.6888,115.9015,29.1927,1.2373,0.45,0.21,0.6,0.7955,1
JustKlikkit,107,157,134,217,854,2,1.4673,1.9065,0.1121,7,1.0641,0.765,6,0.8141,0.5853,121.8654,45.7827,1.5761,0.59,0.15,0.71,0.4359,0
ktjgeekmom,662,183,0,95,47,1,0.2764,1.423,0.1148,24,2.3736,4.5474,184482,1858.8736,3561.2105,89.8022,26.7828,1.46,0.27,0.49,0.25,0.6429,1
Alizetibikes,462,184,28,61,361,2,0.3983,0.4827,0.0909,6,0.6793,2.0492,685,10.5326,31.7705,116.2065,26.8661,2.1849,0.65,0.05,0.82,0.5054,1
KanDaoVR,425,271,23,296,212,13,0.6376,1.2118,0.0588,13,1.8922,1.7196,15,1.0483,0.9527,114.0781,35.1877,1.4667,0.17,0.2,0.57,0.4684,0
startdet,155,315,122,46,93,1,2.0323,0.0065,0,8,0.4349,2.9783,4,0.2159,1.4783,124.5365,28.0054,2.566,0.17,0,1,0.1556,0
