name,score,,,,,,,,,,,,,,,,,,
_anthony_seger_,42,,,,,,,,,,,,,,,,,,
_Backers_,38,,,,,,,,,,,,,,,,,,
_capergames,43,,,,,,,,,,,,,,,,,,
_FG_College_,29,,,,,,,,,,,,,,,,,41,Q1
_LaFabrique,54,,,,,,,,,,,,,,,,,50,Q2
_magic_circle_,54,,,,,,,,,,,,,,,,,59,Q3
_meghansmith_,42,,,,,,,,,,,,,,,,,,
_sattva,47,,,,,,,,,,,,,,,,,49.62,MEAN
_savandy,40,,,,,,,,,,,,,,,,,91,Highest
_WickedHeart,58,,,,,,,,,,,,,,,,,1,Lowest
0pensource,51,,,,,,,,,,,,,,,,,,
18dMedia,12,,,,,,,,,,,,,,,,,73,95%
18SportsAndy,50,,,,,,,,,,,,,,,,,67,90%
2TomatoesGms,56,,,,,,,,,,,,,,,,,62,80%
3Js3KimsYoongi,46,,,,,,,,,,,,,,,,,,
3kwa,42,,,,,,,,,,,,,,,,,,
3rdEchelon,54,,,,,,,,,,,,,,,,,31.3,10%
4160Tuesdays,54,,,,,,,,,,,,,,,,,,
5toclose,35,,,,,,,,,,,,,,,,,,
8bitpxl,58,,,,,,,,,,,,,,,,,,
9Lamper,43,,,,,,,,,,,,,,,,,,
A1GOY,57,,,,,,,,,,,,,,,,,,
aaronareed,48,,,,,,,,,,,,,,,,,,
aawato,52,,,,,,,,,,,,,,,,,,
ABCDjamesbond,26,,,,,,,,,,,,,,,,,,
abcxyz_jp,48,,,,,,,,,,,,,,,,,,
aboardgamelife,51,,,,,,,,,,,,,,,,,,
AceAnbender,70,,,,,,,,,,,,,,,,,,
ActionZacku,52,,,,,,,,,,,,,,,,,,
AD360eu,56,,,,,,,,,,,,,,,,,,
adelaide_rain,46,,,,,,,,,,,,,,,,,,
AdhilPatel,39,,,,,,,,,,,,,,,,,,
AECoker,44,,,,,,,,,,,,,,,,,,
afterallmylove,79,,,,,,,,,,,,,,,,,,
AGCemporium,39,,,,,,,,,,,,,,,,,,
AgileFaye,50,,,,,,,,,,,,,,,,,,
akasha111182,52,,,,,,,,,,,,,,,,,,
alanbahr,49,,,,,,,,,,,,,,,,,,
alexhibbert,62,,,,,,,,,,,,,,,,,,
AlexisJanson,54,,,,,,,,,,,,,,,,,,
alexneskin,30,,,,,,,,,,,,,,,,,,
alisongilbert,38,,,,,,,,,,,,,,,,,,
alissakmclean,59,,,,,,,,,,,,,,,,,,
AllArduino,45,,,,,,,,,,,,,,,,,,
alleycatgames,43,,,,,,,,,,,,,,,,,,
alpoma,55,,,,,,,,,,,,,,,,,,
alysiareiner,59,,,,,,,,,,,,,,,,,,
amandamakepeace,60,,,,,,,,,,,,,,,,,,
amandarivkin,64,,,,,,,,,,,,,,,,,,
amartino,69,,,,,,,,,,,,,,,,,,
AmberNLyon,36,,,,,,,,,,,,,,,,,,
AMDembedded,39,,,,,,,,,,,,,,,,,,
