name,score
inclusive_games,36
PlayJellybean,48
Hey_BenB,29
StamiStudios,43
ashes_rochelle,16
SchneeCreations,56
Karen_Words,39
saladinazad,46
von_randgriz,19
RosaSwannAuthor,44
danielhirschman,47
KingOfNotMuch,37
Kidmechano,38
ProgTalkPoints,12
DeepTechWire,40
argodesigned,45
FatGoblinGames,22
TheIanLemke,23
iFilmmakers,44
vetpip,32
SelamtaMagazine,25
HenshinAsset,25
HungryHalfling,34
eachrncls,43
CaptainBungalo,31
ChowChowMet,27
cardboard_kid,46
stephanie_draws,47
arisia,36
vengeful_steve,37
anmatcoburn,34
LnLPub,38
JustAddDesign,36
sotcpod,36
AMDembedded,39
JapanimeGames,51
jambapg,30
thewisdomposts,48
oldsoft,44
mrmkay,36
EtoEWanders,26
FluffyMeeple,44
Gamer_Goggles,36
TAGchirp,22
NoNonsenseJo,3
timeless,84
starstarparty,42
yirehbusiness,40
blackcrownhq,65
kidstablebg,48
DragonsofWales,57
GMorts_Chaotica,41
CigarBoxBattle,44
engellaunilsson,54
AnyaBeaumont,45
osamadorias,54
UpsUpsAndDowns,59
JennSandercock,55
PeaceLoveNGames,52
IMsweden,50
intel_stewart,48
psahre,44
jonnycraig4L,93
digiartlords,49
DaveNeWaza,39
postcrossing,57
JPatanio,55
dealifind,40
PapaLemonBooks,52
VRnerds,45
PuneCityLife,56
darthtorlin,38
LoudounNow,41
StarlingGames,39
PerfectEDC,16
tBalanceoPower,35
BKelile,40
LitTranslate,59
studiobliz,38
Modiphius,64
GeorgeKrstic,54
guidaautonoma,62
winning_mark,51
gamerati,37
DynInterference,51
ironicteachings,9
4160Tuesdays,54
bythebbl,49
KellyMacFarlane,47
OJCade,46
TheNazzaro,49
WorstDM,56
_savandy,40
cyp,81
mikeyburton,44
Frauenfelder,60
Retr0J,55
ragso,52
thievesguildbiz,59
alexhibbert,62
jephjonez,49
BadSquiddoGames,57
DJKver2,50
itworldca,49
liverpoolimages,68
wnt_news,62
Mrbosslady,47
RubySojourner,64
BookZINY,46
krcircuit,59
crowdfundinghl,52
_magic_circle_,54
lamisterlesbian,54
sirjoshh,30
jennywbristol,55
KerrieDougherty,48
SapphireSteamy,61
Gwennchan,45
SJGames,70
robertapagnini,50
princesssudi,45
biodagar,57
backercamp,48
upperrubberboot,64
GAAMRyan,53
seankmckeever,63
bixbiboom,32
synoisia,53
bk2128,61
jeremygutsche,53
sethw,59
Kaboobi,3
NeowinFeed,67
daimanuel,52
SkyCricket,79
robkroese,73
symatt,65
CyberDomain,74
