keywords,User,Time,Favorite count,retweets,Text
1 animal for 1 dollar,rafaelshimunov,2018/5/8 22:51,8,6,"Here is another renegade, shut out of public discourse via endless teaching, publishing of books and holding a resi https://t.co/bQtsAiKpDy"
1 animal for 1 dollar,_meghansmith_,2018/5/11 3:17,3,1,@melissamartinx For less then a dollar a day you could save this poor dying animal from another cold night by just https://t.co/5lqqIcyh7K
100 Things Phish,Formula5Music,2018/5/14 19:55,6,4,"Join us @SkinnyPancake in Burlington, VT on June 22nd for the book release of 100 Things A Phish Fan Should Know A https://t.co/KDpBlzZkym"
100 Things Phish,PHISHpointO,2018/5/16 14:42,12,3,"100 Things Phish Fans Should Know &amp; Do Before They Die:

#97 - Get tweeter roasted by @thephunion and not sulk in t https://t.co/dTi6BYM6nL"
100 Things Phish,DeadPhishOrch,2018/5/10 18:59,6,2,"So stoked for our June 1 show @brooklynbowl Book Release Party for ""100 Things Phish Fans Should Know &amp; Do Before T https://t.co/4QV3tQzNEU"
100 Things Phish,jbolognino,2018/5/21 18:07,3,1,"For all the Heads out there, be sure support the homie @apsmithnyc on Kickstarter for his latest book, 100 things https://t.co/QF8cV504K3"
18Lilliput,tonyboydell,2018/5/28 8:09,13,2,18Lilliput https://t.co/gDmUKIyCCo
2 Many Parakeets,VinsightfulKids,2018/5/25 14:24,2,1,"Check out 2 Many Parakeets, an illustrated Children's Book about Birds. I'm a fan! @Kickstarter https://t.co/oWcfGvUIZZ"
2 WEEK TATTOO,KimOlson4TxAg,2018/5/21 22:43,21,10,"ICYMI: Last week, Sid didnt have many nice things 2 say about Kim supporters that have tattoos. Now you all can ha https://t.co/BdBoZGSIHn"
3D Printable Scifi Structures for Tabletop Gaming Vol 2,projectmobius,2018/5/14 14:46,2,1,Civilian Building unlocked for my 3D Printable Scifi Structures for Tabletop Gaming Vol 2 https://t.co/Pj74BSz3LB https://t.co/tvWDBGWj5w
52 Essential Conversations,andyr20,2018/5/18 19:37,4,1,Check out this new game focused on starting and building discussions around #SEL #DEI and critical thinking in the https://t.co/m2hWUwhTdj
5-Minute Dungeon,PubMeeple,2018/5/28 16:45,5,2,5 Minute Dungeon only has a week left on their #kickstarter Not much time left to back this fun little #game. The n https://t.co/CvyJQJf23D
5-Minute Dungeon,riqaru,2018/5/27 22:53,1,1,"Here are the games we are going to play with approximate start times.
-Magic, modern format 10am
-5 Minute Dungeon https://t.co/LZntsWPvz7"
99 Bitcoins and an Elephant,AndyXJenkins,2018/5/21 8:25,0,1,I just backed 99 Bitcoins and an Elephant: Sci-fi for young girls and boys on @Kickstarter https://t.co/thh2jxs9bg https://t.co/juuuUap8vA
A better paper bag,bsperk02,2018/5/21 22:14,15,4,It's 2018 and we still haven't found a better way to bag up flour/sugar than the 1ply paper bag?
A Book for Kids about Improv for Life,james_irvs,2018/5/15 1:33,4,3,Check out A Book for Kids about Improv for Life by Damian Synadinos on @Kickstarter https://t.co/ICTJH9h3VF
A Book for Kids about Improv for Life,AgileFaye,2018/5/14 19:16,1,2,"Hey, Improvisers! If you've got little people in  your life &amp; want to introduce them to the creativity &amp; collaborat https://t.co/aYBBSKQf24"
A Delve in the Cave,TesseraGuild,2018/5/15 4:36,1,2,"6 RPG Kickstarters You Should Back  Lankhmar Savage Seas of Nehwon, Sovereign Stone, THE BOOK OF DARK SECRETS, The https://t.co/of3QI79j7X"
A Delve in the Cave,Jamie1km,2018/5/22 11:56,3,1,"Kicktraq seems to think weve hit the ceiling, but I dont think so. Six hours to go ... two stretch goals remainin https://t.co/37EapJBkw5"
A Light Extinguished,Mocha_Soul,2018/5/21 14:28,2,1,"Fought for democracy, founded a health service for all and fiercely continued to defend it from those who would (an https://t.co/ZZW1zqoNqB"
A Pound of Kindness,C2CMovie,2018/5/11 13:50,2,2,This is just good! https://t.co/Ie7an517cp https://t.co/zNxIvLXUpB
A Pound of Kindness,mattfaulisi,2018/5/20 2:02,3,2,So a friend of mine is writing a childrens book and its a pretty amazing story with some great art to boot. Cant https://t.co/UJwTd9WL9t
A Pound of Kindness,18SportsAndy,2018/5/25 0:03,4,1,"VIDEO: ""A Pound of Kindness"" book to help children with disabilities play the game of baseball with help of Corning https://t.co/evFuOL8UGl"
A Pound of Kindness,D3DreamAndDo,2018/5/11 18:52,1,1,I liked a @YouTube video https://t.co/XXeSAGAhZ2 A Pound of Kindness - Children's Book Promo - Coming 2018
A Pound of Kindness,HumanBeanHeals,2018/5/14 14:26,4,1,"What's your random act of kindness today? 

I gave my trolley token to a lady who didn't have a pound coin"
A Pound of Kindness,joygraceharmony,2018/5/11 17:03,1,1,I just backed A Pound of Kindness - Children's Book on @Kickstarter https://t.co/2aohHGs2FR
A Timeless Celebration,openhousetv,2018/5/12 12:50,7,2,The home of music industry titan @CliveDavis is a timeless celebration of entertaining and art. Check your local NB https://t.co/oErW49n3PI
A Timeless Celebration,TLandin,2018/5/21 20:07,2,2,"@TimeTravelStorm @beckie_bannon @nbc @abigailspencer Oh Yes, Happy Birthday and maybe we'll get to see a #Timeless https://t.co/H6TiKtRa2R"
