keywords,User,Time,Favorite count,retweets,Text
Empyreal,__Suwan__W__,2018/5/16 3:10,1,1,"#ContestAlert; Win a #kickstarter copy of the  #Empyreal #boardgame thanks to @boardgamerev and @Level99Games, Chec https://t.co/ldHJ4bvC8P"
Super Anthony,_anthony_seger_,2018/6/12 4:52,0,1,"Values-on-Chain VoC BlockChain Smartphone
Across Nations Brand Signature Leadership Roles
Decentralized Application https://t.co/ntDqfJnsGk"
Secrets of the Nethercity,_Autarch_,2018/6/15 17:20,2,1,"#gygaxiannaturalism #osr #dungeon #rpg #dnd #acks

&lt;&lt;Today I want to share a bit about the methodology of the Nethe https://t.co/L2z19GaSfO"
Dessert Cuties Enamel Pins,_Backers_,2018/5/30 17:25,4,1,"Kawaii Style enamel pins featuring yummy treats, Now available for Pre-order on Kickstarter! Check out these Desser https://t.co/yfmV5LLyL0"
VERTIUM,_capergames,2018/6/4 19:39,2,2,"Had a fun #Solo game today @BSoMT_2018. We need to give the Complex 3 planets, as Rebels can now use Skirmish Cards https://t.co/gtjpWjzRJV"
Spectacular Settlements for 5th Edition!,_FG_College_,2018/6/16 0:52,1,2,I just backed Spectacular Settlements for 5th Edition! on @Kickstarter https://t.co/N62LTEjzWX
HandyHNGR,_LaFabrique,2018/6/11 9:38,4,4,"Handy HNGR  3 coloris disponibles juste ici  https://t.co/yXtVW9Oze0
#innovation #hanger #handy #travel https://t.co/yqIlnl8mLt"
1 animal for 1 dollar,_meghansmith_,2018/5/11 3:17,3,1,@melissamartinx For less then a dollar a day you could save this poor dying animal from another cold night by just https://t.co/5lqqIcyh7K
Reel Gardening,_sattva,2018/5/18 14:15,2,1,Sattva worked with @ReelGardening to design their Buy one Give one model. Check their campaign on Kickstarter to ta https://t.co/WOgIqgKMJ2
The Haunted Zoo,_WickedHeart,2018/5/17 15:38,2,1,@RukaTrue_ the zoo and aquarium. haunted house tours. voodoo and art museums. cafe du monde. chicken and watermelon https://t.co/V9XYJpHtHy
Tennibot,0pensource,2018/5/22 8:00,2,2,"Take a look at #Tennibot - a really cool #Ubuntu #Linux powered tennis ball collecting #robot.

via @BetaNews

https://t.co/cRM1O8S5zY"
HUMBGO UV,18dMedia,2018/5/15 6:56,0,1,UV Rays-Reflecting Jackets - The Humbgo UV UPF176 Super Skin Coat Prevents Unwanted Sun Exposure ( https://t.co/4ZvxG7gCrZ
A Pound of Kindness,18SportsAndy,2018/5/25 0:03,4,1,"VIDEO: ""A Pound of Kindness"" book to help children with disabilities play the game of baseball with help of Corning https://t.co/evFuOL8UGl"
Seb McKinnon Magic the Gathering Playmats,1stGunn_Show,2018/6/8 17:16,0,1,"Just backed this Kickstarter! Amazing art and if you love #MTG you should help out. Thanks @RhysticStudies 

Seb Mc https://t.co/1zg0haQD81"
Christmas Lights Card Game,25thCG,2018/6/17 13:53,11,2,Heads up #origins2018 folks! Stop by @indiegamealliance booth 155 today to demo Christmas Lights. On Kickstarter fo https://t.co/nwKyQ9WjWq
"New Corp Order, a tabletop game about Marketing&Manipulation",2TomatoesGms,2018/6/7 16:43,15,9,"New Corp Order, a tabletop game about Marketing&amp;Manipulation de  @Kickstarter https://t.co/UWx3x5fbG8 #boardgame https://t.co/jLuCXDkfvX"
Spies and Patriots 28mm Wargaming Miniatures,3DDZYN,2018/5/10 15:30,1,1,@brigadegames has put on a @kickstarter for #coldwar era #spies. Check it out: https://t.co/0V4AWuuFmf
Oh My! How We're Different,3Js3KimsYoongi,2018/5/18 3:28,1,2,we wake up every day w a different bias. last night im about joon. this morning im all about tae. jk loves his thig https://t.co/YpI1pi73QJ
The accidental HFT firm,3kwa,2018/6/12 0:18,1,1,I just backed The accidental HFT firm on @Kickstarter https://t.co/WL9muLkSAY
Forsaken Forest,3rdEchelon,2018/6/12 5:45,8,1,"Knowing that Cayde has been targeted for assassination, the Vanguard, with the help of Osiris, free a Cayde simulat https://t.co/pLOsWQ21Pr"
DRACONIC PLAYING CARDS,4HOGS_GAMES,2018/5/22 9:22,1,1,"Last hours! 
https://t.co/RK4IJHuLjw

#playingcards #dragons #customcards #Crowdfunding #Kickstarter #poker"
COMBAR,4NewSquare,2018/6/1 16:21,2,2,"Sian Mirchandani (@SianMirchandani) of @4NewSquare, speaking out in favour of litigation funding from the COMBAR No https://t.co/saJJXgKWzc"
Prometheus Writes,4Sevens,2018/5/16 19:30,3,1,The new @darksucks Kickstarter Campaign for the Alpha Bamboo Fountain Pen just launched. Get this into your pocket https://t.co/Y48JiLizZW
