keywords,User,Time,Favorite count,retweets,Text
Dessert Cuties Enamel Pins,_Backers_,2018/5/30 17:25,4,1,"Kawaii Style enamel pins featuring yummy treats, Now available for Pre-order on Kickstarter! Check out these Desser https://t.co/yfmV5LLyL0"
1 animal for 1 dollar,_meghansmith_,2018/5/11 3:17,3,1,@melissamartinx For less then a dollar a day you could save this poor dying animal from another cold night by just https://t.co/5lqqIcyh7K
KHUx Dandelions Acrylic Charms,aawato,2018/5/31 16:50,23,6,"RTs are appreciate &lt;3 | chibi Skuld from #khux ^ 0 ^ she will be available as a charm, but only if we reach the kic https://t.co/EfR7uBFkGx"
Souls of the sea,afterallmylove,2018/6/5 4:27,9,3,"""Love one another, but not make
not a bond of love; let it rather be
a moving sea between the shores
of your souls. https://t.co/qO3SBW740W"
Bi-frost and Pride Valkyrie Pins,akasha111182,2018/6/4 14:43,3,1,Did I back these? How is this even a question. Of course I backed these: Bi-frost and Pride Valkyrie Pins https://t.co/1Tq8Ny7pBu #Pride2018
Ember Goods Storefront,alaskangeles,2018/5/10 4:49,36,4,My friends are Kick-starting their new business!! Go check it out and donate for some awesome perks!!! 7 days left! https://t.co/J7INT3hCIS
SuperEmoFriends,asadayaz,2018/5/10 3:09,2,1,Nice job @SuperEmoFriends https://t.co/pNgeOiupaz
Japanese Mythos Enamel Pins,AskSweetCream,2018/5/18 16:20,2,1,"Kappa unlocked yesterday! A little under halfway to Kasa-Obake (Umbrella Demon)
https://t.co/DlXhDFUIIw https://t.co/CsODUpindC"
Monster Grrrls,astralruby,2018/5/25 18:42,3,2,"Monster Grrrls!!! Enamel Pins

 https://t.co/akHRVDXicn, via Kickstarter"
Art books about Family and Unusual Unicorns,bobbychiu,2018/6/2 16:30,60,2,Unusual Unicorn sketch!! Hoping everyone is enjoying their weekend! (What would you name him?...) ~ R https://t.co/6g17MpI0JV
Custom Hand-Painted Shoes,boredbyyou_zzz,2018/5/15 12:49,0,1,DM of your looking for a custom pair of hand painted shoes too!! I LOVE making these and would absolutely love to m https://t.co/OIu0gvDAJC
Arcana League,BrianBuchanan57,2018/6/1 19:13,4,1,I just backed Arcana League on @Kickstarter! https://t.co/nHFGMeboTS
Penguin Pin ,briankesinger,2018/5/20 20:14,60,3,You guys! A real penguin is showing off my latest pin! https://t.co/4940qLvi61
Dessert Cuties Enamel Pins,CadeRageous,2018/5/26 19:14,29,6,"Dessert Cuties really does say it all.
https://t.co/SE1YKSX40X"
Final Show Publication for Book Arts Students,Caitlin_Akers,2018/5/21 14:58,3,1,We're nearly there! Back the MA Book Arts Kickstarter so we can have a beautiful catalogue to share with you all fo https://t.co/bDzJz7BvQN
Mini Gallery Box,circusposterus,2018/5/14 14:57,7,1,"Dark Harbor Mini Series Blind Box
By Brandt Peters, Kathie Olivas, and Kidrobot available in the gallery gift shop https://t.co/iaSnGSzDmY"
Seb McKinnon Magic the Gathering Playmats,CitrusInferno,2018/5/29 1:30,0,1,"Hey, do you like beautiful haunting artwork? Then you should check out Seb McKinnon's #kickstarter! Yes, yes, it's https://t.co/vXopD1XnT3"
Trash Bag Bunch XL vinyl art toys,Collectingtoyz,2018/5/10 7:47,4,4,Trash Bag Bunch XL Vinyl Art Toys https://t.co/jlCM9fBHb5 #TrashBagBunchXL #Vinylarttoys #Kickstarter https://t.co/XNiPKUJHzU
PETE VON SHOLLY'S LOVECRAFT ILLUSTRATED,commanderinmtg,2018/5/9 0:54,6,1,Do you like odd art? Lovecraft-inspired art? Check out Pete Von Sholly's @Kickstarter! https://t.co/QsSC45j8T9 If e https://t.co/9pe4GviScP
ABC & XYZ Enamel Pins,CorpGraffitiArt,2018/6/1 1:49,4,3,"All the pieces are coming together! The pins are now available for pre-purchase through Kickstarter!

Visit: https://t.co/KotuMARnl5"
Dessert Cuties Enamel Pins,Crowd_Fund_Pro,2018/5/17 14:00,33,3,Kawaii Style enamel pins featuring yummy treats now on #Kickstarter! Check out these Dessert Cuties Enamel Pins - https://t.co/aMwqJ0YsX6
Tarot of Little Secrets,CrowdfundCentre,2018/5/13 17:12,0,1,Tarot Of Little Secrets - A Play... - #crowdfunding campaign is at 74% funded @laurastamper https://t.co/wjhwW9T8jt
Armadillo and Friend Enamel Pins!,Cynrtst,2018/5/28 18:06,1,1,"Armadillo and Friend Enamel Pins!

 https://t.co/p6VOgE48bB, via Kickstarter"
Penguin Pin ,DangerFeedsRage,2018/5/15 14:38,1,1,@TailoredinSuits supports the evil side of Harry Potter and its horrible! The pin shouldve been broken like that https://t.co/PT4rYxIBni
Mighty Aphrodite! the Animated Web Series,datafaucet,2018/5/24 17:07,1,1,"Mighty Aphrodite! A new animated web series about love and returning to the mortal world after 2,000 years... we've https://t.co/xFlvhKRbBw"
the serpent eats its tail,DawltonBarn,2018/5/6 11:41,9,3,"Please help a friend, @russelljrharris who is working towards his first solo show in Berlin. By pledging to his https://t.co/JPhihSMaud"
ITA Bag Purse for Enamel Pins!,Daymarebrand,2018/5/16 16:43,3,1,Almost 50% funded in one day! #itabag #kickstarter https://t.co/gotFGE3SmB https://t.co/GN938b9NWU
The Road Trip Residency,dc3ArtProjects,2018/5/27 22:38,4,2,Quick trip to to see new #JudeGriebel exhibition Ground-Figure @EsplanadeAG and tour the amazing @Medalta museum an https://t.co/HqcyZGfk72
Horror and Science Fiction Enamel Pin Collection,DeeplyDapper,2018/5/25 7:50,4,1,"The POWER GAUNTLET is another of the pins that are part of our sweet Horror and Sci-fi Enamel Pin Kickstarter, goin https://t.co/8BJW5d3k6S"
Mom-and-Pops of the L.E.S.,dirtybandits,2018/5/31 12:25,2,1,I just backed Mom-and-Pops of the L.E.S. - Public Art Installation by @jamesandKarla on @Kickstarter https://t.co/etCpZczCef
DIY Miss Cupcake XL,DiscordiaCS,2018/5/23 4:24,1,1,Join the Discordia Custom Show @DesignerCon  2018. All three Platforms available at once via @kickstarter HERE: https://t.co/PawBaMZJTL
Tattooed Leia Stickers,dlo168art,2018/5/31 17:56,4,1,Gangster Leia by @dada16808 vectored by who else? :) Please show us your support! https://t.co/cRLQoFvR2S https://t.co/at82Gt88Ca
"It's Chaos, Be Kind",DrewMcWeeny,2018/5/22 0:34,65,8,It's chaos. Be kind. https://t.co/p5635jSCjH
Anthology of Mythology,dwayne_illo,2018/5/22 15:07,1,1,Another of my students is (successfully) funding a project on the old @Kickstarter. Anthology of Mythology: A Colle https://t.co/gzoazF1p6G
Anthology of Mythology,dynastybeautyb,2018/5/12 3:56,4,9,Check out Mythology : The Illustrated Anthology of World Myth and Storytelling by C. Scot  https://t.co/XPmit8oKG9 https://t.co/sMEjXuHd1k
OVO Casket,emiliobadilio,2018/5/30 14:12,2,1,How much yall think an OVO casket goes for nowadays?
Monsters and Legendary Characters of the Greek Mythology,erbardo,2018/5/7 8:02,5,2,Checa Monsters and Legendary Characters of the Greek Mythology de Suseya Ediciones en @Kickstarter https://t.co/IvzfduIoUI
Community Glass Studio,eunicebrownlee,2018/5/29 17:00,2,1,Excited to back this awesome @kickstarter campaign from @fluxstudiollc! Won't you join me? With just 8 days remaini https://t.co/sApsmD2nFO
OVO Casket,EvesTitties,2018/5/30 17:21,0,1,OVO got him a first class ticket to a casket https://t.co/EcTHZRSpQw
HUNCHtheatre,eyre_joe,2018/5/27 11:24,3,1,"Very exciting work from brand new company @hunchtheatre, with the Dude himself, Oliver Bennett, at the helm. Give t https://t.co/qg7G2t7alY"
Community Glass Studio,fluxstudiollc,2018/5/19 15:56,29,6,"Enjoy taking a moment with a whisky over Longs Peak.   
Support the launch of our community glass studio and get a https://t.co/VtQ6C0zq9G"
The Nomad Tarot,forestwitch,2018/5/14 16:57,15,6,Jennifer Dranttel is raising funds to get her nature themed Nomad Tarot deck printed again so we can all buy it! It https://t.co/GXpPQvq6Or
The Blood Moon Tarot,galendara,2018/5/30 16:38,8,4,and FINALLY got around to backing @SamGuayArt's BRILLIANT Blood Moon tarot deck. I'M SO BLOWN AWAY BY THIS PROJECT! https://t.co/gXLfD3atGP
PETE VON SHOLLY'S LOVECRAFT ILLUSTRATED,GehennaBooks,2018/5/21 1:59,1,2,PETE VON SHOLLYS LOVECRAFTILLUSTRATED https://t.co/ob7mUmoO9x https://t.co/Cq5Hqfwmy4
Public Art Installation by fierce pussy,ginavergel7,2018/5/17 19:16,1,1,Guys join me in supporting this amazing project by @LeslieLohman!!! ---&gt; Public Art Installation by fierce pussy is https://t.co/ZgqeH7lsyf
"Cast of Characters, An Immersive Queer Portrait Exhibition",goldenpolaroid,2018/5/26 19:33,6,3,"Check out Cast of Characters, An Immersive Queer Portrait Exhibition by Liz Collins on @Kickstarter https://t.co/u9xiL7AtVO"
Calendar 2019 ,Govtjobsalerti1,2018/6/5 4:32,0,1,"#GovtJobs #SarkariNaukri

UPSC Exam Calendar 2018 OUT- Check UPSC Exams Schedule for The Year 2019, for complete de https://t.co/sza7zxciUE"
Circus Takes Lexington,Gwenda,2018/5/30 21:15,7,1,YAY! We get to stay in our current aerial studio space for another month. So no homeless circus! (Still the kicksta https://t.co/R0XeQd4gRX
Badass Sailor Senshi Enamel Pin Set,GyariSan1138,2018/5/7 16:49,2,1,@Megami33 Hi Corinne! Could you give me an RT to help spread word about my friend @MakoFufu 's Kickstarter? She's a https://t.co/sgeLeohUWO
A fabulous book showcasing the art of Nancy Fouts,HFCNews,2018/5/16 4:17,0,1,Check out A fabulous book showcasing the art of Nancy Fouts by The Friends of Nancy Fouts on @Kickstarter https://t.co/ECkUrxW0wH
Arctic National Wildlife Refuge,HotTweetDeals,2018/5/22 11:06,0,1,Be a tourist at Arctic National Wildlife Refuge! Want $50 Lyft credit to get there? Use code PIP #traveller https://t.co/nXQ35AzeJM
HUNCHtheatre,hunchtheatre,2018/6/1 17:27,10,7,@TheActorsPad please retweet new company @hunchtheatre HUNCHtheatre's fundraising for inaugural show https://t.co/vYxApyaAfT
Moshis Babygirls 2,infectedellis,2018/5/25 4:18,0,1,"Brand new on @Kickstarter: Moshis Babygirls 2"" Hard Enamel Pins! by Moshi Moshi Watermelon https://t.co/Qk262GTv8H https://t.co/LM8QvXEzFA"
Tea is for winners,InnaBoxDesign,2018/6/4 16:08,1,2,Who's your fave? Check out my latest kickstarter! #tea #kickstarter https://t.co/ORuuHXRXnT https://t.co/bRKuldMBK5
Mini Gallery Box,JackeyCarkey,2018/5/11 21:29,2,1,"Hey don't forget about this cool Kickstarter:

https://t.co/Dgpcnvu9Ns"
Mom-and-Pops of the L.E.S.,JamesandKarla,2018/5/31 15:24,5,1,"The ""Mom &amp; Pops L.E.S."" logo has been generously designed by the talented supporter Molly Woodward of https://t.co/xmVhMpxjUf"
Tarot cards by comic artist Joe Phillips.,joephillipsart,2018/6/5 0:31,3,3,Tarot cards by comic artist Joe Phillips. is popular on @Kickstarter! https://t.co/mIiAoox4sS
Wisdom and Knowledge,johndumelo1,2018/5/29 7:10,31,5,God bless your new age. May He grant you Wisdom and knowledge in Jesus name. Amen! https://t.co/yt8tNTVeOj
PETE VON SHOLLY'S LOVECRAFT ILLUSTRATED,JonSchnepp,2018/5/9 3:21,38,5,HAIL CTHULHU!!! I just backed PETE VON SHOLLY'S LOVECRAFT ILLUSTRATED on @Kickstarter https://t.co/4YCi1KeMGp
Penguin Pin ,kayleebird_,2018/5/21 22:16,4,1,"*hands me wallpaper with pin stripes* here kaylee penguin, it has pin stripes... just like your prison uniform wil https://t.co/QwDwwT12cz"
Anthology of Mythology,KimMichelleRos1,2018/6/3 8:14,0,1,Iron Doves: A Charity Anthology by Stephanie Barr A set of short stories featuring female protagonists. Includes my https://t.co/8UM6bZaatV
ITA Bag Purse for Enamel Pins!,krowdster,2018/5/16 8:42,1,3,Brand new on @Kickstarter: ITA Bag Purse for Enamel Pins! by Jessica https://t.co/LzvZFEbzrI
Mighty Aphrodite! the Animated Web Series,kryptonradio,2018/5/29 13:10,1,1,Love and Hope go hand in hand. Help Mighty Aphrodite! bring a little hope into the world. Help us kickstart her cha https://t.co/FZtOLsqoXc
Yokai enamel pin collection,LEONR0MER,2018/5/15 20:40,1,1,"YOKAI KICKSTARTER!!! First is the Tanuki! 

BEHAVIOR: Tanuki possesses powerful magical abilities. They change sha https://t.co/RD7cmZOGpL"
"The Mom Life Inspired Pins, Embracing Motherhood",lettchoco,2018/6/1 19:09,6,5,"Rts Appreciated! дя
My kickstarter has 7 days left! Please help me out in funding these as I am so close ! And als https://t.co/dDXjlmI2gd"
Chinese Zodiac (Constellation) Enamel Pin Series,LionintheTrees,2018/5/21 16:01,36,11,We're down to the final few days now! Thank you all so much for helping make this such a successful Kickstarter  https://t.co/KJc30qkpDM
Once upon a bun enamel pins,Lunar_Magic_,2018/5/7 0:18,0,1,Bun-chan and baby bun are here to remind you there are 25 days left! Let's keep on spreading the word and get those https://t.co/7y3FU7D0ox
Yokai enamel pin collection,malaneuh,2018/6/1 10:09,0,1,"Yokai enamel pin collection

 https://t.co/Q9lOQFmhBS, via Kickstarter"
Halloween Cats Part 2,markpopham,2018/5/11 19:51,9,6,hey an old friend has a kickstarter for a line of enamel pins that I think just MIGHT be up some peoples alleys https://t.co/2uGAwPblhM
100 INK ANIMALS,mcdoidge,2018/5/30 22:44,7,3,I дя this artist! I just backed 100 INK ANIMALS - an illustrated book &amp; oracle card deck on @Kickstarter https://t.co/lLYkGIOIlq
Gender Fluid Potion Enamel Pin,MeaKitty,2018/5/15 23:42,2,2,My friend is so close to meeting her goal on these awesome enamel pins. I know something like this may mean a lot t https://t.co/uaIHCOv3um
All American Wood Blocks,megjmont,2018/5/17 13:05,0,2,The most talented &amp; thoughtful artist I know has a project to share! Support art &amp; buy some of her work for yoursel https://t.co/f6qJiCJ8Fh
Adorable Deadpool Chibi Sticker,MelBaka_Art,2018/5/22 17:08,0,1,"Get your own chibi Deadpool merch made by myself! Stretch goals include pink and grey variants, and Gwenpool! https://t.co/YuYhHyxY16"
365 Squares Vol. II,moon_mxtr,2018/6/1 15:40,17,1,"Another fav of mine for the #365squares2 artbook!
Link to the campaign: https://t.co/54NSvhpCAD https://t.co/fjHSuRvBJb"
ARS GOETIA,mrfeelswildride,2018/6/3 3:34,2,1,@DAIROCKETTO the villain of the first half of Covenant is 'what if Rasputin had made a pact with one of the major demons of the Ars Goetia'
Wonder Women Enamel Pins,musosguide,2018/5/23 13:09,1,1,Brand new on @Kickstarter: Wonder Women Enamel Pins - Complete the Set by Jeremy Burnich https://t.co/jz3hddC1Sj
Mini Gallery Box,NaeKhen,2018/5/15 5:08,14,3,"I pledged for a box 

Pleaaase check it out and consider pledging too you'll get gorgeous beauties from https://t.co/GQfXa4aDCK"
KHUx Dandelions Acrylic Charms,NoaTugy,2018/5/24 9:32,2,1,"Half way through!!
Please check @aawato Kickstarter and support her for great kingdom heart charms! https://t.co/NnRXGVoIcE"
Penguin Pin ,notesinabook,2018/5/14 8:35,0,1,"Penguin Pin ""GET COOL STUFF DONE"" Enamel Pin Badge https://t.co/xjIKkU1soH #Kickstarter #KickstarterFinds https://t.co/AKjBjivjez"
Papercuts,papercutspod,2018/5/22 3:25,7,2,Thank you to @treebirds for being our guest author on Papercuts. We love Ponti.  #AWF18 https://t.co/nS6exSA79B
Arcana League,PELightning,2018/6/1 19:56,2,2,Baseball fans! Tarot fans! Check out this Kickstarter! Ang is one of my favorite artists of the past few years and https://t.co/Eed0mHZdmz
Gay Pride,pride_site,2018/5/16 4:00,2,1,"Youre probably thinking one of two things right now: Wow, sounds sexy! or Wow, youre a slut. https://t.co/JL4sgSNS8P"
ABC & XYZ Enamel Pins,ProfClayton,2018/5/29 21:17,2,3,I just backed @CorpGraffitiArts ABC &amp; XYZ Enamel Pins on #kickstarter! https://t.co/ySQh0BlbHq
1 animal for 1 dollar,rafaelshimunov,2018/5/8 22:51,8,6,"Here is another renegade, shut out of public discourse via endless teaching, publishing of books and holding a resi https://t.co/bQtsAiKpDy"
ROY G. BV II,rapjoeybatts,2018/5/24 14:43,3,3,Brand new on @Kickstarter: ROY G. BV II - The Mysterious Beauty of Nova Scotia by joey batts @idektbch @bklynlogc https://t.co/SKHRx3cnvC
Alt-Age,RCA,2018/5/11 18:05,4,1,"To coincide with @DesignMuseum's  exhibition 'Hope to Nope: Graphics &amp; Politics 200818', Curating Contemporary Art https://t.co/SYFRyzmBg8"
The Book Of The Abyss,ReadSpaceBoy,2018/6/4 16:58,2,1,"In Zach Barlett's hilarious page-turner TO ANOTHER ABYSS!, this guy drops in to share his #artistic #ambitions... a https://t.co/iE2pEQGbrU"
BEAGLE Enamel Pin Badge,RenElleryBnT,2018/5/17 12:55,2,1,Just a few more pledges needed to hit my goal. Retweets to all your Beagle friends are really appreciated. Aroooooo https://t.co/VcbYTu9PfI
Petography,RERPhoto,2018/5/12 4:26,1,2,Meow In memory of Ruby #pet #cat #dog #petography #awesome #beauty #camera #edits #fun #igivesmiles #keepasmile https://t.co/YOksRsjRr3
Seb McKinnon Magic the Gathering Playmats,RhysticStudies,2018/5/31 18:20,66,8,"Seb's kickstarter is kicking ass 

help him make more art and pick up a playmat
https://t.co/9X3F3Hn4yF"
Mini Gallery Box,rinaraaquino,2018/5/10 0:33,9,2,"I just backed Mini Gallery Box on @Kickstarter, featuring @Sibylline_M for the first box https://t.co/UD9uUKrqlh https://t.co/LYGvA8VTIJ"
vessels presents,riskstaff,2018/5/15 13:30,4,2,Assistant Analyst Evert van der Werk presents the new Risk Intelligence report Government-sponsored GPS jamming an https://t.co/UskPoYXDYu
Monochrome Memory,romanenfutter,2018/5/12 0:30,2,1,"I assume this is true for everyone but there's long stretches of monochrome in my memory, my memory seems to mostly https://t.co/CmFqheYn8I"
KAWAII TO KOWAI,RPGCantrell,2018/6/4 21:50,1,2,OMG its at 356% funded!!! It only has $512 left to unlock everything!!Share this around and let everyone know abou https://t.co/ukBSBc6upm
Monochrome Memory,rshipleyart,2018/5/16 17:41,6,1,"https://t.co/JjA1Z7cCOn
Drifting on a memory 
Mixed Media on Paper
70 x 50 cm
2018
DM if youre interested. https://t.co/HvmJ1BxfEp"
ARS GOETIA,Scheheradere,2018/5/22 1:43,1,1,girls who can recite the Ars Goetia 
Mighty Aphrodite! the Animated Web Series,ShanePlaysPR,2018/5/30 11:26,0,1,"The Goddess herself returns to the human-run world after 2,000 years - and to her great surprise, falls in love! Mi https://t.co/2mL1DO4eFe"
Japanese Mythos Enamel Pins,shions_heart,2018/5/23 9:27,2,5,I just backed Japanese Mythos Enamel Pins on @Kickstarter https://t.co/nZ7X4NICkD
"It's Chaos, Be Kind",snarkydogmom,2018/5/22 1:01,2,1,"""It's chaos, be kind.""  - Patton Oswalt https://t.co/2S8jJ9P01u"
Studio Ghibli Inspired Chibi Hard Enamel Pins Collection,sqiouyilu,2018/5/29 18:28,1,2,"oh NOOOOOO

Studio Ghibli Inspired Chibi Hard Enamel Pins Collection is popular on @Kickstarter! https://t.co/lcOw5QqWiA"
Bad Fan Art Enamel Pins + Bees!,StadriEmblems,2018/5/8 18:07,3,1,We're really excited about this #Kickstarter campaign from @Rain_City_Items! There is still time to pledge for one https://t.co/nMKM06TaYj
KupoCafe Acrylic Charms,SukiCat_Arts,2018/6/4 23:53,1,1,Our first stretch goal has been unlocked!  TONBERRY charms will now be available to backers and future buyers! https://t.co/xQ8yQrCryc
Trash Bag Bunch XL vinyl art toys,tenacioustoys,2018/6/4 20:53,3,2,"Oh NBD just a shot of me and the Trash Bag Bunch protos taken by Mel Birnkrant. Back the Kickstarter, only $1400 to https://t.co/OUi9reuz3d"
Animantras,thejonesdavy,2018/5/19 14:32,1,1,Animantras - a cute and powerful looking Oracle - Ive backed it and only a couple of days left to back it if you w https://t.co/CFaC1wTTHs
Horror & Sci-Fi Postcards,ThomasOtterman,2018/5/19 2:42,1,1,"Horror &amp; Sci-Fi Postcards (Sleepy Hollow, Star Wars,...)

 https://t.co/Q2AXvM8jLc, via Kickstarter"
BEAGLE Enamel Pin Badge,UKBeagles,2018/5/16 20:03,1,1,Brand new on @Kickstarter: BEAGLE Enamel Pin Badge by Karen Ellery https://t.co/Gr1HWk8dv6
Monochrome Memory,unwinnable,2018/5/8 16:00,2,1,".@crapstacular plays Umiro, a puzzler where you bring back color and memory to a monochrome world: https://t.co/CxZotEiKqr"
The Colourful Coat Crew,vcgriffin,2018/5/30 17:50,0,2,I just backed The Colourful Coat Crew - Enamel Pins and Illustrations on @Kickstarter https://t.co/xIwQDGx2Us
TERRA,WarsiVOK,2018/6/5 5:33,1,1,@straightfromdk @Faisal152818621 @shubabsh @nasimasardar @azizabadi @WasayJalil @sheikhwaleed15 @FahadPremier https://t.co/MjSvzobFNQ
