keywords,User,Time,Favorite count,retweets,Text
Empyreal,__Suwan__W__,2018/5/16 3:10,1,1,"#ContestAlert; Win a #kickstarter copy of the  #Empyreal #boardgame thanks to @boardgamerev and @Level99Games, Chec https://t.co/ldHJ4bvC8P"
VERTIUM,_capergames,2018/6/4 19:39,2,2,"Had a fun #Solo game today @BSoMT_2018. We need to give the Complex 3 planets, as Rebels can now use Skirmish Cards https://t.co/gtjpWjzRJV"
Spies and Patriots 28mm Wargaming Miniatures,3DDZYN,2018/5/10 15:30,1,1,@brigadegames has put on a @kickstarter for #coldwar era #spies. Check it out: https://t.co/0V4AWuuFmf
DRACONIC PLAYING CARDS,4HOGS_GAMES,2018/5/22 9:22,1,1,"Last hours! 
https://t.co/RK4IJHuLjw

#playingcards #dragons #customcards #Crowdfunding #Kickstarter #poker"
Steamboat Billy,8bitpxl,2018/5/28 5:07,6,2,This looks seriously cool! Steamboat Billy by @WeAreManaVoid #indiegame #gamedev #indiedev https://t.co/hbwuJWvA2f
Archives of the Sky,aaronareed,2018/5/27 22:12,8,3,Had a great conversation with Doc Palindrome on The Lounge podcast talking about my storytelling game Archives of t https://t.co/2f6QLnPyNA
"New Corp Order, a tabletop game about Marketing&Manipulation",aboardgamelife,2018/5/21 18:06,5,1,"I just backed New Corp Order, a tabletop game about Marketing &amp; Manipulation on @Kickstarter https://t.co/TALDSCHN94 #boardgames"
VR Puppet Murder Mystery,ActionZacku,2018/5/25 17:53,1,3,"My extremely creative and talented pal @erinf is creating this amazing puppet experience in VR, and it's very very https://t.co/Aw6HcECAIv"
Doomsday Bots,adversitygames,2018/6/3 10:48,3,2,"A cool find at #ukge2018, Doomsday bots by @digispritedev is on @kickstarter now and fully funded. Make the best https://t.co/m2hPXWD1C0"
MORE Cool Dice Bags,alanbahr,2018/5/26 1:15,8,2,"My friends at Black Oak Workshop have a new dice bag Kickstarter up!

https://t.co/gspaQEOPA9"
Cubeamajigs,AlexisJanson,2018/5/19 20:12,15,1,Ooooooooooooh boy it's cubeamajigs from @cardamajigs I don't have time to give these a full test and review right https://t.co/rqZlW4OYcN
Itchy Monkey,AllanKirkeby,2018/5/29 22:28,6,4,"Itchy Monkey, a game with a wacky theme, endless variations, full 2-4 player support, and it's language independent https://t.co/L6zEO7SPUc"
Slickerdrips,alleycatgames,2018/5/30 7:33,6,1,"Slickerdrips - Year 3!

 https://t.co/LodYcJqhP4, via Kickstarter"
Dungeonrunner,AlphaMecha,2018/5/15 1:30,4,3,Dungeonrunner:  Solitaire Fantasy Card  Game  800% of goal and new stretch  goals had to be added! https://t.co/qsDAXasYPD
DIG (Second Edition) & DIG,amangrovetree,2018/5/22 11:34,3,2,"Last hours to back DIG and DIG: Dragon! on kickstarter!
6 Stretch Goals unlocked including the addition of a 5th pl https://t.co/QhYhXT9XNT"
Tricky Tides,AppUnwrapper,2018/5/11 16:30,3,1,Tiny Bubbles: Tricky Tides Walkthrough ALL LEVELS &amp; iOS iPad Gameplay (by Pine Street Codeworks): https://t.co/1rLc3iR2ri via
Villages of Valeria,AreaGamesFC,2018/5/12 17:13,2,1,"Area Games 11/05/2018: Dragon's Gold,  Villages of Valeria, Viceroy, Race for the galaxy. #TabletopGaming https://t.co/zpGMCnEgCd"
Vikingr,ArionGames,2018/6/4 9:49,2,2,Vikingr RPG Kickstarter has just six days left... https://t.co/vAeh3j8FsV
Creatures of Vathis,ashessocks,2018/5/27 16:18,4,1,I had the opportunity to chat with Dave from Nerdarchy about Creatures of Vathis! Thank you for adding us to this l https://t.co/ESyqfb8cJN
Table Top AR,athomas_tr,2018/6/1 21:46,6,2,"Please support this @kickstarter project coming from @StartupAggies
Check out Table Top AR by STAG: Southern Trans- https://t.co/SaPhG2lhVg"
Arcane Scrollworks 2,Awesome8sRPG,2018/5/18 15:16,3,1,"RPG Crowdfunding News 096: Arcane Scrollworks 2,Savage Worlds Sovereign Stone, HeroBook, Archives of the Sky, Child https://t.co/UNdif3lMXr"
I Am The Fourth Wall,azazel_42,2018/5/16 2:02,1,1,I just backed I Am The Fourth Wall - Asymmetrical Cthulhu Horror Card Game on @Kickstarter https://t.co/XURojlh9Sl
MourneQuest,BackspindleGame,2018/5/22 7:45,0,1,Good morning! You can order me here https://t.co/jMolUnWLzf #heroine #Geek #chibi MourneQuest #irish #leprechaun https://t.co/yczGL8qo1O
Crisis at Steamfall,BDGTom,2018/5/14 15:02,6,2,"Crisis at Steamfall Kickstarter campaign is now live!
https://t.co/KiwD6xKhKc"
Anno Domini 1666,beastsofwar,2018/5/15 16:00,2,1,We delve into the new project by #WargamerGamesStudio and talk to them about #AnnoDomini1666 - a fantastic Fantasy/ https://t.co/cEQ1EuPWf2
Jaws of Extinction [Reboot],behindtheindies,2018/5/16 20:12,5,3,"""Jaws of Extinction"" is currently on #Kickstarter! You should probably head over and make a pledge. https://t.co/8Udch8fBsF"
Dice Bag,BeholderStudios,2018/6/4 22:34,1,1,"!giveaway for a dice tower and dice bag of my own design. to be entered into the raffle, join my stream this week a https://t.co/jpDPyqFaX7"
Castle von Loghan,bennetbieck,2018/5/21 7:10,2,3,To all #boardgame and #tabletop #fans: have a look at this #Amazing #Kickstarter #campaign ! A new #experience of https://t.co/Z38JIFH9Ih
Open Portals Playing Cards,BestCrowdFundng,2018/5/24 19:14,0,1,#Kickstarter Open Portals Playing Cards by James R. Eads: https://t.co/Z3PRcwdHSa https://t.co/WkdHWekrnQ
One Week Ultimate Werewolf,bestplayco,2018/5/15 11:06,3,1,. @beziergames has mixed Werewolf with Castles of Mad King Ludwig. A crazy weird combo we are very curious to try o https://t.co/ODZME6RWpB
Dark Naga,BettaGamesHQ,2018/6/1 23:44,3,1,"I just backed Dark Naga - Carcosa for 5th Edition on @Kickstarter https://t.co/sKjnCGyJRi
#kickstarter #dnd #RPG"
OrcQuest WarPath,BG_Heaven,2018/5/17 10:35,9,11,Check out this amazing cooperative new boardgame by @MazeGamesFR on @Kickstarter called #OrcQuestWarpath https://t.co/2e3iuQwGOI
BoardGames with Niramas 2018,BgwNiramas,2018/6/2 21:28,2,1,201% Funded! And the third Stretch Goal unlocked! :) So ALL backers get a ticket to the after Essen Excklusive Give https://t.co/ZRL5JxVBkO
TALES OF THE NORTHLANDS,BigBadLex,2018/5/28 9:37,10,3,The Family &amp; Solo rules for Tales of the Northlands are now uploaded onto BGG ;https://t.co/pjs2O4pTbu  Special tha https://t.co/DSYqyuTTHf
Reign of Cthulhu,Bigdoglove630,2018/5/22 0:57,4,1,"THIS Game is Going To Be Awesomely Cthulhu Amazing, Reign Of Cthulhu, it's on Kickstarter NOW, I Just Pledged, Did https://t.co/uYN3NyzpUX"
The Ultimate Clap Back,blasianFMA,2018/5/28 20:22,3,3,Trying to raise 376 more dollars for @ClapBackGame's kickstarter. 2 days left. They won't get any of the money if t https://t.co/hAjJdJ3e0n
Ratmen Temple,blogsNcoffee,2018/6/4 10:13,1,1,"4 All-Ages Games Kickstarters You Should Back  No Thank You, Evil!, Scales &amp; Tales, Ratmen Temple, and Fetch Quest https://t.co/noaD1V9LLb"
Journal 29 Revelation,BloomWatcher,2018/5/22 10:06,0,1,Journal 29 Revelation: Interactive Book Game exceeded 50K$ on day 14  #Kickstarter https://t.co/xoTs8To9kC https://t.co/QppB7CC1GQ
The Lemonade Wars,BluffCreekElem,2018/5/17 14:25,8,1,"Mrs Swensons  3rd graders read, discuss and reflect on The Lemonade Wars while preparing for BCEs Global Chariti https://t.co/u8FkFjFsd8"
Tiny Ninjas,BoardCrazyGames,2018/5/29 1:05,3,1,It was a ton of fun writing about May's top Kickstarter #boardgames. Whether it's the Crusader Kings adaptation or https://t.co/VugvJs8TCi
"New Corp Order, a tabletop game about Marketing&Manipulation",Boardgame_girl1,2018/5/22 0:53,12,2,"Excited to be live-streaming a play through of New Corp Order, a tabletop game about Marketing&amp;Manipulation with https://t.co/OVenAzXpzi"
Crusader Kings The Board Game,BoardGameAcad,2018/5/27 4:00,0,1,Check out  The Crusader Kings board game brings the medieval soap opera to your tabletop https://t.co/E5LSOxsq4h #boardgames #tabletop
Tricky Tides,BoardGameChick,2018/5/25 0:38,1,1,Somehow just found out about this game..  So glad I caught it before the campaign ended. It looks great! I love the https://t.co/E3pWBYz0v3
ORC STABR,boardgamelinks,2018/5/10 10:14,1,1,Orc Stabr RPG Up On Kickstarter - Tabletop Gaming News https://t.co/8QUzzTrkQD
"SAMSARA, the Board Game",boardgamerev,2018/5/13 15:22,2,1,"Congratulations to Eric J Beck you are the winner of the Board Game Revolution ""Samsara"" #worldwide #community https://t.co/5yvGPPNQjS"
Kodama Duo,BoardGames_TT,2018/5/12 4:49,0,1,Kodama Duo: Kindred Spirits on Kickstarter #BoardGames https://t.co/IDiNRHnpio
Mr. Cabbagehead's Garden,BoldBebo,2018/5/19 21:24,7,1,You have just 11 days left to back @LudiCreations Mr. Cabbagehead's Garden! This is one of the coolest solo games I https://t.co/y11Hvc2suQ
Posthuman Saga,Bombastic_World,2018/5/22 12:37,5,1,Posthuman Saga is a project made by some Maltese friends of mine   @Kickstarter! https://t.co/UdYWiK6B8Y
Crisis at Steamfall,bossfan2000,2018/6/5 1:18,0,1,I entered to win #CrisisAtSteamfall thanks to @BDGTom @TryRollingSolo | #BoardGames #BoardGame #SoloBoardGames https://t.co/KrTEQciHSD
RPG Book Leather Cover,bragrman,2018/5/29 10:42,1,1,This KS project has 6 days to go. Leather sleeves for your #TTRPG books - I'm looking forward to having a DnD set t https://t.co/YdDzhLee2T
ORC STABR,BrawlingBros,2018/5/15 17:50,8,2,"Episode 73 is a go! Check our Castell review, talk Brook City, Omen Saga &amp; ORC STABR.  We review @BoardGameGeek top https://t.co/DrqpUnPFeW"
Sparkle*Kitty Nights,breaking_games,2018/5/22 1:34,9,3,"Sparkle*Kitty Nights Kickstarter has 10 days to go!!!!
Donate now HERE and be a part of the fun: https://t.co/wXzuIMo9tL"
Tricky Tides,BriansGotGame,2018/5/22 19:09,1,1,This week's we have a #kickstarter preview for Tricky Tides by @stevenaramini and @GoldSealGames Check it out to se https://t.co/NATQX3EDna
The Thirsty Dragon Board Games Bar and Cafe,BushidoGCT,2018/5/10 16:23,6,2,I just backed The Thirsty Dragon Board Games Bar and Cafe on @Kickstarter https://t.co/5GMlqP7EEB
Space Cats Fight Fascism,CAFalk,2018/5/26 21:54,3,2,Share: Space Cats #Fight #FascismIs a Card #Game With a Great Name and an Even Better Mission https://t.co/4ygCi1p1MW via @io9
Dream Recurrence Playing Cards,CardExperiment,2018/5/30 15:52,0,1,Dream Recurrence: Reverie playing cards is unlocked! Check out our new campaign! https://t.co/tmBuyDLz4G https://t.co/O6InmasG57
Ironrise,CatsvsG,2018/6/2 19:12,6,1,Princess Tiger Puff was sent a prototype copy of the @IronriseGames boardgame (on Kickstarter) to test for cat comp https://t.co/bPGk3yZOVa
5-Minute Dungeon,ChrisWhartonArt,2018/6/4 11:40,3,1,I just backed 5-Minute Dungeon: Curses! Foiled Again! Expansion on @Kickstarter https://t.co/LpwO60CfSQ The game it https://t.co/0x1E2lxuvS
The Ultimate Clap Back,ClapBackGame,2018/5/19 19:22,2,1,You've been playing The Ultimate Clap Back for a while.  It's time to mix-in some new cards! Support the campaign a https://t.co/k66uWLcT4r
Space Cats Fight Fascism,coopnews,2018/5/13 12:31,1,2,Help space cats fight galactic fascism new ethical game from @ToolboxForEd #coops  https://t.co/OPsrQyUobW https://t.co/wkBznNR9PP
Lisistrata  Visual Novel  Adventure RPG,CrazyCactusEnt,2018/5/12 17:52,0,1,I just backed Lisistrata  Visual Novel  Adventure RPG on @Kickstarter https://t.co/7CSFhiEZaJ #vndev #visualnovel
RPG Character Journal,crit4brains,2018/5/26 14:11,2,2,Today would be a great day to back our #Kickstarter project! Its a notebook and journal for your #DnD and #RPG cha https://t.co/C07J96wDnI
Bicycle Carnival Playing Cards & Stripper Deck Magic Trick,CrowdCBoost,2018/5/21 20:03,0,1,We added 'Bicycle Carnival Playing Cards &amp; Stripper Deck Magic Trick' a new #gaming campaign! https://t.co/NAkXXG064M
Journal 29 Revelation,CrowdfundCentre,2018/5/26 6:09,0,1,Journal 29 Revelation: Interactive Book Game - #crowdfunding campaign at 637% &amp; 13 days left https://t.co/2bVCuKBO9J
CubeYourLife,Cube_your_Life,2018/5/15 22:14,0,1,D-2! Let's Cube the World ! pisode I : Paris. Some play with the Cube. Some don't. https://t.co/7AH3z9FsRx   pr https://t.co/yhA2WK7bhs
I Am The Fourth Wall,curiopuppeteer,2018/5/11 16:39,5,1,"I'm an anime girl,
In a anime woooorld-
. . .
Made of paper.

It's SO DAPPER--

Naaaaw, who am I kidding,
This is b https://t.co/oncMDTl54T"
