keywords,User,Time,Favorite count,retweets,Text
The Haunted Zoo,_WickedHeart,2018/5/17 15:38,2,1,@RukaTrue_ the zoo and aquarium. haunted house tours. voodoo and art museums. cafe du monde. chicken and watermelon https://t.co/V9XYJpHtHy
A Pound of Kindness,18SportsAndy,2018/5/25 0:03,4,1,"VIDEO: ""A Pound of Kindness"" book to help children with disabilities play the game of baseball with help of Corning https://t.co/evFuOL8UGl"
Oh My! How We're Different,3Js3KimsYoongi,2018/5/18 3:28,1,2,we wake up every day w a different bias. last night im about joon. this morning im all about tae. jk loves his thig https://t.co/YpI1pi73QJ
MotorPunk,A1GOY,2018/5/21 10:05,29,3,"Proper print mag run by proper people. And I'm doing a bit for it, but don't let that put you off. https://t.co/tvx0otBTQK"
Papa Lemon Bullying Book,AAltherrcjusd,2018/6/4 5:44,1,2,I just backed Papa Lemon Bullying Book on @Kickstarter https://t.co/woR88qeReC
In Search of Sisu,abcxyz_jp,2018/5/8 13:12,3,1,"#Kickstarter #crowdfunding #Finnish #sisu
In Search of Sisu https://t.co/1nzLJZRRlA"
The Agora Letters,AECoker,2018/5/15 8:57,32,4,Students said they weren't confident with Greek capital letters... so today we're transcribing an inscription from https://t.co/PSN7bo9MWT
A Book for Kids about Improv for Life,AgileFaye,2018/5/14 19:16,1,2,"Hey, Improvisers! If you've got little people in  your life &amp; want to introduce them to the creativity &amp; collaborat https://t.co/aYBBSKQf24"
Savage Impressions,ahrcletterpress,2018/5/15 6:36,4,5,Kickstarter to fund book on Bruce Licher and the Independent Project Press(via @RedPlatePress): just 5k needed to r https://t.co/phwzi66WCO
A World Of Wisdom,alisongilbert,2018/5/16 2:28,3,1,So lucky to call a @MaxieMcCoy a friend. So excited more of the world gets a dose of her wisdom and inspiration. Yo https://t.co/rCHFhBRBNT
Sanity Line,alissakmclean,2018/6/4 21:46,6,4,"@byrdinator This is right in line with the kind of human @tedcruz is. He humiliates himself, his state, and the cou https://t.co/uuJ5L3wrJB"
Ladies of the Months Coloring Book by Angela R. Sasser,amandamakepeace,2018/5/26 14:46,3,1,Only 4 days left!! Ladies of the Months Coloring Book by Angela R. Sasser on @Kickstarter https://t.co/h7eIeLuIpv #art #coloring #book
Oh My! How We're Different,amandarivkin,2018/5/15 22:10,2,1,Oh its spot on. Thanks Uday @DonaldJTrumpJr for bringing my attention to it! Spot on depiction. Now we all know ho https://t.co/JexsnCQPDQ
The Future of Books is Female,andevers,2018/5/28 22:57,20,4,"I don't know it, know it, but I truly believe there is someone out there who wants me to build them a 200-book libr https://t.co/fwSd3oijgE"
The Visual Facilitation Field Guide,Andi_Roberts,2018/5/20 17:17,7,7,"Calling any leader, manager, coach, trainer OR facilitator - This resource should be on your bookshelf: The Visual https://t.co/lTSvKg4oqi"
52 Essential Conversations,andyr20,2018/5/18 19:37,4,1,Check out this new game focused on starting and building discussions around #SEL #DEI and critical thinking in the https://t.co/m2hWUwhTdj
